Quarter,Percentage Change,index
Q1 1960,,^GDAXI
Q2 1960,,^GDAXI
Q3 1960,,^GDAXI
Q4 1960,,^GDAXI
Q1 1961,-0.03643484461672597,^GDAXI
Q2 1961,-0.03643484461672597,^GDAXI
Q3 1961,-0.03643484461672597,^GDAXI
Q4 1961,-0.03643484461672597,^GDAXI
Q1 1962,-0.016306576210318946,^GDAXI
Q2 1962,-0.016306576210318946,^GDAXI
Q3 1962,-0.016306576210318946,^GDAXI
Q4 1962,-0.016306576210318946,^GDAXI
Q1 1963,0.03808030524548367,^GDAXI
Q2 1963,0.03808030524548367,^GDAXI
Q3 1963,0.03808030524548367,^GDAXI
Q4 1963,0.03808030524548367,^GDAXI
Q1 1964,-0.011596761751328288,^GDAXI
Q2 1964,-0.011596761751328288,^GDAXI
Q3 1964,-0.011596761751328288,^GDAXI
Q4 1964,-0.011596761751328288,^GDAXI
Q1 1965,-0.045165604799747294,^GDAXI
Q2 1965,-0.045165604799747294,^GDAXI
Q3 1965,-0.045165604799747294,^GDAXI
Q4 1965,-0.045165604799747294,^GDAXI
Q1 1966,0.0546908957080634,^GDAXI
Q2 1966,0.0546908957080634,^GDAXI
Q3 1966,0.0546908957080634,^GDAXI
Q4 1966,0.0546908957080634,^GDAXI
Q1 1967,0.012319504061055975,^GDAXI
Q2 1967,0.012319504061055975,^GDAXI
Q3 1967,0.012319504061055975,^GDAXI
Q4 1967,0.012319504061055975,^GDAXI
Q1 1968,0.08351024348401759,^GDAXI
Q2 1968,0.08351024348401759,^GDAXI
Q3 1968,0.08351024348401759,^GDAXI
Q4 1968,0.08351024348401759,^GDAXI
Q1 1969,-0.13346748334238345,^GDAXI
Q2 1969,-0.13346748334238345,^GDAXI
Q3 1969,-0.13346748334238345,^GDAXI
Q4 1969,-0.13346748334238345,^GDAXI
Q1 1970,0.333010041988933,^GDAXI
Q2 1970,0.333010041988933,^GDAXI
Q3 1970,0.333010041988933,^GDAXI
Q4 1970,0.333010041988933,^GDAXI
Q1 1971,0.10256860428520631,^GDAXI
Q2 1971,0.10256860428520631,^GDAXI
Q3 1971,0.10256860428520631,^GDAXI
Q4 1971,0.10256860428520631,^GDAXI
Q1 1972,0.07950533246954294,^GDAXI
Q2 1972,0.07950533246954294,^GDAXI
Q3 1972,0.07950533246954294,^GDAXI
Q4 1972,0.07950533246954294,^GDAXI
Q1 1973,0.0991345693382133,^GDAXI
Q2 1973,0.0991345693382133,^GDAXI
Q3 1973,0.0991345693382133,^GDAXI
Q4 1973,0.0991345693382133,^GDAXI
Q1 1974,-0.007594744708152135,^GDAXI
Q2 1974,-0.007594744708152135,^GDAXI
Q3 1974,-0.007594744708152135,^GDAXI
Q4 1974,-0.007594744708152135,^GDAXI
Q1 1975,-0.010612328122231118,^GDAXI
Q2 1975,-0.010612328122231118,^GDAXI
Q3 1975,-0.010612328122231118,^GDAXI
Q4 1975,-0.010612328122231118,^GDAXI
Q1 1976,0.03444623188814644,^GDAXI
Q2 1976,0.03444623188814644,^GDAXI
Q3 1976,0.03444623188814644,^GDAXI
Q4 1976,0.03444623188814644,^GDAXI
Q1 1977,0.036953121351959384,^GDAXI
Q2 1977,0.036953121351959384,^GDAXI
Q3 1977,0.036953121351959384,^GDAXI
Q4 1977,0.036953121351959384,^GDAXI
Q1 1978,0.08710042265958928,^GDAXI
Q2 1978,0.08710042265958928,^GDAXI
Q3 1978,0.08710042265958928,^GDAXI
Q4 1978,0.08710042265958928,^GDAXI
Q1 1979,0.02038646216137452,^GDAXI
Q2 1979,0.02038646216137452,^GDAXI
Q3 1979,0.02038646216137452,^GDAXI
Q4 1979,0.02038646216137452,^GDAXI
Q1 1980,-0.019383799276104563,^GDAXI
