Quarter,Percentage Change,index
Q1 1960,,^SSMI
Q2 1960,,^SSMI
Q3 1960,,^SSMI
Q4 1960,,^SSMI
Q1 1961,0.09385452834783936,^SSMI
Q2 1961,0.09385452834783936,^SSMI
Q3 1961,0.09385452834783936,^SSMI
Q4 1961,0.09385452834783936,^SSMI
Q1 1962,0.06080819497395984,^SSMI
Q2 1962,0.06080819497395984,^SSMI
Q3 1962,0.06080819497395984,^SSMI
Q4 1962,0.06080819497395984,^SSMI
Q1 1963,0.04628885807444605,^SSMI
Q2 1963,0.04628885807444605,^SSMI
Q3 1963,0.04628885807444605,^SSMI
Q4 1963,0.04628885807444605,^SSMI
Q1 1964,0.18524963212516,^SSMI
Q2 1964,0.18524963212516,^SSMI
Q3 1964,0.18524963212516,^SSMI
Q4 1964,0.18524963212516,^SSMI
Q1 1965,-0.09375640879457536,^SSMI
Q2 1965,-0.09375640879457536,^SSMI
Q3 1965,-0.09375640879457536,^SSMI
Q4 1965,-0.09375640879457536,^SSMI
Q1 1966,0.1503676269341956,^SSMI
Q2 1966,0.1503676269341956,^SSMI
Q3 1966,0.1503676269341956,^SSMI
Q4 1966,0.1503676269341956,^SSMI
Q1 1967,-0.03638398775776919,^SSMI
Q2 1967,-0.03638398775776919,^SSMI
Q3 1967,-0.03638398775776919,^SSMI
Q4 1967,-0.03638398775776919,^SSMI
Q1 1968,0.28770656967284514,^SSMI
Q2 1968,0.28770656967284514,^SSMI
Q3 1968,0.28770656967284514,^SSMI
Q4 1968,0.28770656967284514,^SSMI
Q1 1969,0.016655352855386774,^SSMI
Q2 1969,0.016655352855386774,^SSMI
Q3 1969,0.016655352855386774,^SSMI
Q4 1969,0.016655352855386774,^SSMI
Q1 1970,0.07723437683810808,^SSMI
Q2 1970,0.07723437683810808,^SSMI
Q3 1970,0.07723437683810808,^SSMI
Q4 1970,0.07723437683810808,^SSMI
Q1 1971,0.12221532440522287,^SSMI
Q2 1971,0.12221532440522287,^SSMI
Q3 1971,0.12221532440522287,^SSMI
Q4 1971,0.12221532440522287,^SSMI
Q1 1972,0.03672663317799496,^SSMI
Q2 1972,0.03672663317799496,^SSMI
Q3 1972,0.03672663317799496,^SSMI
Q4 1972,0.03672663317799496,^SSMI
Q1 1973,0.032894363185555164,^SSMI
Q2 1973,0.032894363185555164,^SSMI
Q3 1973,0.032894363185555164,^SSMI
Q4 1973,0.032894363185555164,^SSMI
Q1 1974,0.021233402814452962,^SSMI
Q2 1974,0.021233402814452962,^SSMI
Q3 1974,0.021233402814452962,^SSMI
Q4 1974,0.021233402814452962,^SSMI
Q1 1975,0.06549445980557134,^SSMI
Q2 1975,0.06549445980557134,^SSMI
Q3 1975,0.06549445980557134,^SSMI
Q4 1975,0.06549445980557134,^SSMI
Q1 1976,0.08160880879778354,^SSMI
Q2 1976,0.08160880879778354,^SSMI
Q3 1976,0.08160880879778354,^SSMI
Q4 1976,0.08160880879778354,^SSMI
Q1 1977,0.01731346119034116,^SSMI
Q2 1977,0.01731346119034116,^SSMI
Q3 1977,0.01731346119034116,^SSMI
Q4 1977,0.01731346119034116,^SSMI
Q1 1978,0.14625861766562087,^SSMI
Q2 1978,0.14625861766562087,^SSMI
Q3 1978,0.14625861766562087,^SSMI
Q4 1978,0.14625861766562087,^SSMI
Q1 1979,-0.019238421167937725,^SSMI
Q2 1979,-0.019238421167937725,^SSMI
Q3 1979,-0.019238421167937725,^SSMI
Q4 1979,-0.019238421167937725,^SSMI
Q1 1980,-0.012057824827092944,^SSMI
Q2 1980,-0.012057824827092944,^SSMI
Q3 1980,-0.012057824827092944,^SSMI
Q4 1980,-0.012057824827092944,^SSMI
Q1 1981,-0.02792861950573855,^SSMI
Q2 1981,-0.02792861950573855,^SSMI
Q3 1981,-0.02792861950573855,^SSMI
Q4 1981,-0.02792861950573855,^SSMI
Q1 1982,0.025496732262082045,^SSMI
Q2 1982,0.025496732262082045,^SSMI
Q3 1982,0.025496732262082045,^SSMI
Q4 1982,0.025496732262082045,^SSMI
Q1 1983,-0.006966766535033808,^SSMI
Q2 1983,-0.006966766535033808,^SSMI
Q3 1983,-0.006966766535033808,^SSMI
Q4 1983,-0.006966766535033808,^SSMI
Q1 1984,0.0043293418639791525,^SSMI
Q2 1984,0.0043293418639791525,^SSMI
Q3 1984,0.0043293418639791525,^SSMI
Q4 1984,0.0043293418639791525,^SSMI
Q1 1985,0.041768454279216716,^SSMI
Q2 1985,0.041768454279216716,^SSMI
Q3 1985,0.041768454279216716,^SSMI
Q4 1985,0.041768454279216716,^SSMI
Q1 1986,0.04864751978533133,^SSMI
Q2 1986,0.04864751978533133,^SSMI
Q3 1986,0.04864751978533133,^SSMI
Q4 1986,0.04864751978533133,^SSMI
Q1 1987,0.0597260547313474,^SSMI
Q2 1987,0.0597260547313474,^SSMI
