Quarter,Percentage Change,index
Q1 1960,,^FTLC
Q2 1960,,^FTLC
Q3 1960,,^FTLC
Q4 1960,,^FTLC
Q1 1961,0.03446189838677127,^FTLC
Q2 1961,0.03446189838677127,^FTLC
Q3 1961,0.03446189838677127,^FTLC
Q4 1961,0.03446189838677127,^FTLC
Q1 1962,-0.08803908120540616,^FTLC
Q2 1962,-0.08803908120540616,^FTLC
Q3 1962,-0.08803908120540616,^FTLC
Q4 1962,-0.08803908120540616,^FTLC
Q1 1963,-0.022678057625942105,^FTLC
Q2 1963,-0.022678057625942105,^FTLC
Q3 1963,-0.022678057625942105,^FTLC
Q4 1963,-0.022678057625942105,^FTLC
Q1 1964,-0.2800980884502515,^FTLC
Q2 1964,-0.2800980884502515,^FTLC
Q3 1964,-0.2800980884502515,^FTLC
Q4 1964,-0.2800980884502515,^FTLC
Q1 1965,0.4272811430451722,^FTLC
Q2 1965,0.4272811430451722,^FTLC
Q3 1965,0.4272811430451722,^FTLC
Q4 1965,0.4272811430451722,^FTLC
Q1 1966,0.1185973955139683,^FTLC
Q2 1966,0.1185973955139683,^FTLC
Q3 1966,0.1185973955139683,^FTLC
Q4 1966,0.1185973955139683,^FTLC
Q1 1967,0.04958760246683558,^FTLC
Q2 1967,0.04958760246683558,^FTLC
Q3 1967,0.04958760246683558,^FTLC
Q4 1967,0.04958760246683558,^FTLC
Q1 1968,-0.09347742707561824,^FTLC
Q2 1968,-0.09347742707561824,^FTLC
Q3 1968,-0.09347742707561824,^FTLC
Q4 1968,-0.09347742707561824,^FTLC
Q1 1969,0.026893601143836765,^FTLC
Q2 1969,0.026893601143836765,^FTLC
Q3 1969,0.026893601143836765,^FTLC
Q4 1969,0.026893601143836765,^FTLC
Q1 1970,0.08806278810008639,^FTLC
Q2 1970,0.08806278810008639,^FTLC
Q3 1970,0.08806278810008639,^FTLC
Q4 1970,0.08806278810008639,^FTLC
Q1 1971,0.5245776916660452,^FTLC
Q2 1971,0.5245776916660452,^FTLC
Q3 1971,0.5245776916660452,^FTLC
Q4 1971,0.5245776916660452,^FTLC
Q1 1972,-0.11748764321267635,^FTLC
Q2 1972,-0.11748764321267635,^FTLC
Q3 1972,-0.11748764321267635,^FTLC
Q4 1972,-0.11748764321267635,^FTLC
Q1 1973,0.03631236375237079,^FTLC
Q2 1973,0.03631236375237079,^FTLC
Q3 1973,0.03631236375237079,^FTLC
Q4 1973,0.03631236375237079,^FTLC
Q1 1974,0.019486450815208167,^FTLC
Q2 1974,0.019486450815208167,^FTLC
Q3 1974,0.019486450815208167,^FTLC
Q4 1974,0.019486450815208167,^FTLC
Q1 1975,-0.06579742268680622,^FTLC
Q2 1975,-0.06579742268680622,^FTLC
Q3 1975,-0.06579742268680622,^FTLC
Q4 1975,-0.06579742268680622,^FTLC
Q1 1976,-0.07443681248031975,^FTLC
Q2 1976,-0.07443681248031975,^FTLC
Q3 1976,-0.07443681248031975,^FTLC
Q4 1976,-0.07443681248031975,^FTLC
Q1 1977,0.5624271989378427,^FTLC
Q2 1977,0.5624271989378427,^FTLC
Q3 1977,0.5624271989378427,^FTLC
Q4 1977,0.5624271989378427,^FTLC
Q1 1978,-0.0551943350260391,^FTLC
Q2 1978,-0.0551943350260391,^FTLC
Q3 1978,-0.0551943350260391,^FTLC
Q4 1978,-0.0551943350260391,^FTLC
Q1 1979,0.053514166292930376,^FTLC
Q2 1979,0.053514166292930376,^FTLC
Q3 1979,0.053514166292930376,^FTLC
Q4 1979,0.053514166292930376,^FTLC
Q1 1980,0.011325057607671773,^FTLC
Q2 1980,0.011325057607671773,^FTLC
Q3 1980,0.011325057607671773,^FTLC
Q4 1980,0.011325057607671773,^FTLC
Q1 1981,-0.0731906204040409,^FTLC
Q2 1981,-0.0731906204040409,^FTLC
Q3 1981,-0.0731906204040409,^FTLC
Q4 1981,-0.0731906204040409,^FTLC
Q1 1982,-0.05026167263300507,^FTLC
Q2 1982,-0.05026167263300507,^FTLC
Q3 1982,-0.05026167263300507,^FTLC
Q4 1982,-0.05026167263300507,^FTLC
Q1 1983,-0.022044269345662282,^FTLC
Q2 1983,-0.022044269345662282,^FTLC
Q3 1983,-0.022044269345662282,^FTLC
Q4 1983,-0.022044269345662282,^FTLC
Q1 1984,-0.044809230988069326,^FTLC
Q2 1984,-0.044809230988069326,^FTLC
Q3 1984,-0.044809230988069326,^FTLC
Q4 1984,-0.044809230988069326,^FTLC
Q1 1985,0.08033794226454982,^FTLC
Q2 1985,0.08033794226454982,^FTLC
Q3 1985,0.08033794226454982,^FTLC
Q4 1985,0.08033794226454982,^FTLC
Q1 1986,0.09405101776688607,^FTLC
Q2 1986,0.09405101776688607,^FTLC
Q3 1986,0.09405101776688607,^FTLC
Q4 1986,0.09405101776688607,^FTLC
Q1 1987,0.22668994255840058,^FTLC
Q2 1987,0.22668994255840058,^FTLC
Q3 1987,0.22668994255840058,^FTLC
Q4 1987,0.22668994255840058,^FTLC
Q1 1988,0.01401409202192494,^FTLC
Q2 1988,0.01401409202192494,^FTLC
Q3 1988,0.01401409202192494,^FTLC
Q4 1988,0.01401409202192494,^FTLC
Q1 1989,-0.057722437634079804,^FTLC
Q2 1989,-0.057722437634079804,^FTLC
Q3 1989,-0.057722437634079804,^FTLC
Q4 1989,-0.057722437634079804,^FTLC
Q1 1990,0.007711895982335681,^FTLC
Q2 1990,0.007711895982335681,^FTLC
Q3 1990,0.007711895982335681,^FTLC
Q4 1990,0.007711895982335681,^FTLC
Q1 1991,0.039680639781737526,^FTLC
Q2 1991,0.039680639781737526,^FTLC
Q3 1991,0.039680639781737526,^FTLC
Q4 1991,0.039680639781737526,^FTLC
Q1 1992,-0.0329271834841226,^FTLC
Q2 1992,-0.0329271834841226,^FTLC
Q3 1992,-0.0329271834841226,^FTLC
Q4 1992,-0.0329271834841226,^FTLC
Q1 1993,0.0009241837334337255,^FTLC
Q2 1993,0.0009241837334337255,^FTLC
Q3 1993,0.0009241837334337255,^FTLC
Q4 1993,0.0009241837334337255,^FTLC
Q1 1994,0.027629152995381157,^FTLC
Q2 1994,0.027629152995381157,^FTLC
Q3 1994,0.027629152995381157,^FTLC
Q4 1994,0.027629152995381157,^FTLC
Q1 1995,0.006058316159633481,^FTLC
Q2 1995,0.006058316159633481,^FTLC
