Quarter,Percentage Change,index
Q1 1960,,^GSPC
Q2 1960,,^GSPC
Q3 1960,,^GSPC
Q4 1960,,^GSPC
Q1 1961,0.03813729067821159,^GSPC
Q2 1961,0.03813729067821159,^GSPC
Q3 1961,0.03813729067821159,^GSPC
Q4 1961,0.03813729067821159,^GSPC
Q1 1962,-0.10410143623119417,^GSPC
Q2 1962,-0.10410143623119417,^GSPC
Q3 1962,-0.10410143623119417,^GSPC
Q4 1962,-0.10410143623119417,^GSPC
Q1 1963,0.01749983742002792,^GSPC
Q2 1963,0.01749983742002792,^GSPC
Q3 1963,0.01749983742002792,^GSPC
Q4 1963,0.01749983742002792,^GSPC
Q1 1964,-0.009270046537974919,^GSPC
Q2 1964,-0.009270046537974919,^GSPC
Q3 1964,-0.009270046537974919,^GSPC
Q4 1964,-0.009270046537974919,^GSPC
Q1 1965,0.036192719324602995,^GSPC
Q2 1965,0.036192719324602995,^GSPC
Q3 1965,0.036192719324602995,^GSPC
Q4 1965,0.036192719324602995,^GSPC
Q1 1966,0.0442180067643303,^GSPC
Q2 1966,0.0442180067643303,^GSPC
Q3 1966,0.0442180067643303,^GSPC
Q4 1966,0.0442180067643303,^GSPC
Q1 1967,0.13835577648737352,^GSPC
Q2 1967,0.13835577648737352,^GSPC
Q3 1967,0.13835577648737352,^GSPC
Q4 1967,0.13835577648737352,^GSPC
Q1 1968,0.14890153145007345,^GSPC
Q2 1968,0.14890153145007345,^GSPC
Q3 1968,0.14890153145007345,^GSPC
Q4 1968,0.14890153145007345,^GSPC
Q1 1969,0.014555906673861196,^GSPC
Q2 1969,0.014555906673861196,^GSPC
Q3 1969,0.014555906673861196,^GSPC
Q4 1969,0.014555906673861196,^GSPC
Q1 1970,-0.09561416686503055,^GSPC
Q2 1970,-0.09561416686503055,^GSPC
Q3 1970,-0.09561416686503055,^GSPC
Q4 1970,-0.09561416686503055,^GSPC
Q1 1971,-0.11355339651259677,^GSPC
Q2 1971,-0.11355339651259677,^GSPC
Q3 1971,-0.11355339651259677,^GSPC
Q4 1971,-0.11355339651259677,^GSPC
Q1 1972,0.0601301194789583,^GSPC
Q2 1972,0.0601301194789583,^GSPC
Q3 1972,0.0601301194789583,^GSPC
Q4 1972,0.0601301194789583,^GSPC
Q1 1973,0.005828170812285816,^GSPC
Q2 1973,0.005828170812285816,^GSPC
Q3 1973,0.005828170812285816,^GSPC
Q4 1973,0.005828170812285816,^GSPC
Q1 1974,0.11622764698478849,^GSPC
Q2 1974,0.11622764698478849,^GSPC
Q3 1974,0.11622764698478849,^GSPC
Q4 1974,0.11622764698478849,^GSPC
Q1 1975,0.02256269497435648,^GSPC
Q2 1975,0.02256269497435648,^GSPC
Q3 1975,0.02256269497435648,^GSPC
