Quarter,Percentage Change,index
Q1 2000,0.0,^BVSP
Q2 2000,0.0,^BVSP
Q3 2000,0.0,^BVSP
Q4 2000,0.0,^BVSP
Q1 2001,-0.000419065570341437,^BVSP
Q2 2001,-0.000419065570341437,^BVSP
Q3 2001,-0.000419065570341437,^BVSP
Q4 2001,-0.000419065570341437,^BVSP
Q1 2002,-0.00025708191717843665,^BVSP
Q2 2002,-0.00025708191717843665,^BVSP
Q3 2002,-0.00025708191717843665,^BVSP
Q4 2002,-0.00025708191717843665,^BVSP
Q1 2003,-8.168611838788031e-05,^BVSP
Q2 2003,-8.168611838788031e-05,^BVSP
Q3 2003,-8.168611838788031e-05,^BVSP
Q4 2003,-8.168611838788031e-05,^BVSP
Q1 2004,0.0003630514426182785,^BVSP
Q2 2004,0.0003630514426182785,^BVSP
Q3 2004,0.0003630514426182785,^BVSP
Q4 2004,0.0003630514426182785,^BVSP
Q1 2005,0.00011598737633233824,^BVSP
Q2 2005,0.00011598737633233824,^BVSP
Q3 2005,0.00011598737633233824,^BVSP
Q4 2005,0.00011598737633233824,^BVSP
Q1 2006,0.00023174992301222552,^BVSP
Q2 2006,0.00023174992301222552,^BVSP
Q3 2006,0.00023174992301222552,^BVSP
Q4 2006,0.00023174992301222552,^BVSP
Q1 2007,0.000493484402025901,^BVSP
Q2 2007,0.000493484402025901,^BVSP
Q3 2007,0.000493484402025901,^BVSP
Q4 2007,0.000493484402025901,^BVSP
Q1 2008,0.0025971194617309123,^BVSP
Q2 2008,0.0025971194617309123,^BVSP
Q3 2008,0.0025971194617309123,^BVSP
Q4 2008,0.0025971194617309123,^BVSP
Q1 2009,-0.0011272099139534308,^BVSP
Q2 2009,-0.0011272099139534308,^BVSP
Q3 2009,-0.0011272099139534308,^BVSP
Q4 2009,-0.0011272099139534308,^BVSP
Q1 2010,0.00027487922134961096,^BVSP
Q2 2010,0.00027487922134961096,^BVSP
Q3 2010,0.00027487922134961096,^BVSP
Q4 2010,0.00027487922134961096,^BVSP
Q1 2011,0.00035581626712377634,^BVSP
Q2 2011,0.00035581626712377634,^BVSP
Q3 2011,0.00035581626712377634,^BVSP
Q4 2011,0.00035581626712377634,^BVSP
Q1 2012,2.3429911546024584e-05,^BVSP
Q2 2012,2.3429911546024584e-05,^BVSP
Q3 2012,2.3429911546024584e-05,^BVSP
Q4 2012,2.3429911546024584e-05,^BVSP
Q1 2013,0.00017454182740817004,^BVSP
Q2 2013,0.00017454182740817004,^BVSP
Q3 2013,0.00017454182740817004,^BVSP
Q4 2013,0.00017454182740817004,^BVSP
Q1 2014,0.00013269289405726248,^BVSP
Q2 2014,0.00013269289405726248,^BVSP
Q3 2014,0.00013269289405726248,^BVSP
Q4 2014,0.00013269289405726248,^BVSP
Q1 2015,0.00030389825570686924,^BVSP
Q2 2015,0.00030389825570686924,^BVSP
Q3 2015,0.00030389825570686924,^BVSP
Q4 2015,0.00030389825570686924,^BVSP
Q1 2016,-0.0003403464466347206,^BVSP
Q2 2016,-0.0003403464466347206,^BVSP
Q3 2016,-0.0003403464466347206,^BVSP
Q4 2016,-0.0003403464466347206,^BVSP
Q1 2017,-0.00022547638793979363,^BVSP
Q2 2017,-0.00022547638793979363,^BVSP
Q3 2017,-0.00022547638793979363,^BVSP
Q4 2017,-0.00022547638793979363,^BVSP
Q1 2018,0.0006160932173342459,^BVSP
Q2 2018,0.0006160932173342459,^BVSP
Q3 2018,0.0006160932173342459,^BVSP
Q4 2018,0.0006160932173342459,^BVSP
Q1 2019,0.00010677702678241197,^BVSP
Q2 2019,0.00010677702678241197,^BVSP
Q3 2019,0.00010677702678241197,^BVSP
Q4 2019,0.00010677702678241197,^BVSP
Q1 2020,0.001468312314165221,^BVSP
