Quarter,Percentage Change,index
Q1 1975,0.0,^FCHI
Q2 1975,0.0,^FCHI
Q3 1975,0.0,^FCHI
Q4 1975,0.0,^FCHI
Q1 1976,-0.00020984154597203375,^FCHI
Q2 1976,-0.00020984154597203375,^FCHI
Q3 1976,-0.00020984154597203375,^FCHI
Q4 1976,-0.00020984154597203375,^FCHI
Q1 1977,-0.00036892452024450684,^FCHI
Q2 1977,-0.00036892452024450684,^FCHI
Q3 1977,-0.00036892452024450684,^FCHI
Q4 1977,-0.00036892452024450684,^FCHI
Q1 1978,0.0016944054883458737,^FCHI
Q2 1978,0.0016944054883458737,^FCHI
Q3 1978,0.0016944054883458737,^FCHI
Q4 1978,0.0016944054883458737,^FCHI
Q1 1979,-0.00046575670293502736,^FCHI
Q2 1979,-0.00046575670293502736,^FCHI
Q3 1979,-0.00046575670293502736,^FCHI
Q4 1979,-0.00046575670293502736,^FCHI
Q1 1980,2.5587590396058957e-05,^FCHI
Q2 1980,2.5587590396058957e-05,^FCHI
Q3 1980,2.5587590396058957e-05,^FCHI
Q4 1980,2.5587590396058957e-05,^FCHI
Q1 1981,0.0005206085814366546,^FCHI
Q2 1981,0.0005206085814366546,^FCHI
Q3 1981,0.0005206085814366546,^FCHI
Q4 1981,0.0005206085814366546,^FCHI
Q1 1982,0.00039775276617182165,^FCHI
Q2 1982,0.00039775276617182165,^FCHI
Q3 1982,0.00039775276617182165,^FCHI
Q4 1982,0.00039775276617182165,^FCHI
Q1 1983,-0.000432783348588095,^FCHI
Q2 1983,-0.000432783348588095,^FCHI
Q3 1983,-0.000432783348588095,^FCHI
Q4 1983,-0.000432783348588095,^FCHI
Q1 1984,-0.00036458277494355595,^FCHI
Q2 1984,-0.00036458277494355595,^FCHI
Q3 1984,-0.00036458277494355595,^FCHI
Q4 1984,-0.00036458277494355595,^FCHI
Q1 1985,0.0007285010177049411,^FCHI
Q2 1985,0.0007285010177049411,^FCHI
Q3 1985,0.0007285010177049411,^FCHI
Q4 1985,0.0007285010177049411,^FCHI
Q1 1986,0.0015847670757749288,^FCHI
Q2 1986,0.0015847670757749288,^FCHI
Q3 1986,0.0015847670757749288,^FCHI
Q4 1986,0.0015847670757749288,^FCHI
Q1 1987,0.001481929476845334,^FCHI
Q2 1987,0.001481929476845334,^FCHI
Q3 1987,0.001481929476845334,^FCHI
Q4 1987,0.001481929476845334,^FCHI
Q1 1988,-0.001245850509601909,^FCHI
Q2 1988,-0.001245850509601909,^FCHI
Q3 1988,-0.001245850509601909,^FCHI
Q4 1988,-0.001245850509601909,^FCHI
Q1 1989,0.0003363989730249539,^FCHI
Q2 1989,0.0003363989730249539,^FCHI
Q3 1989,0.0003363989730249539,^FCHI
Q4 1989,0.0003363989730249539,^FCHI
Q1 1990,0.000488456758437561,^FCHI
Q2 1990,0.000488456758437561,^FCHI
Q3 1990,0.000488456758437561,^FCHI
Q4 1990,0.000488456758437561,^FCHI
Q1 1991,-0.0003007083685947487,^FCHI
Q2 1991,-0.0003007083685947487,^FCHI
Q3 1991,-0.0003007083685947487,^FCHI
Q4 1991,-0.0003007083685947487,^FCHI
Q1 1992,8.656200737977571e-05,^FCHI
Q2 1992,8.656200737977571e-05,^FCHI
Q3 1992,8.656200737977571e-05,^FCHI
Q4 1992,8.656200737977571e-05,^FCHI
Q1 1993,-3.123979135633004e-05,^FCHI
Q2 1993,-3.123979135633004e-05,^FCHI
Q3 1993,-3.123979135633004e-05,^FCHI
Q4 1993,-3.123979135633004e-05,^FCHI
Q1 1994,0.0007234593536231682,^FCHI
Q2 1994,0.0007234593536231682,^FCHI
Q3 1994,0.0007234593536231682,^FCHI
Q4 1994,0.0007234593536231682,^FCHI
Q1 1995,-0.00017411599429084657,^FCHI
Q2 1995,-0.00017411599429084657,^FCHI
Q3 1995,-0.00017411599429084657,^FCHI
Q4 1995,-0.00017411599429084657,^FCHI
Q1 1996,0.00022552174094592203,^FCHI
Q2 1996,0.00022552174094592203,^FCHI
Q3 1996,0.00022552174094592203,^FCHI
Q4 1996,0.00022552174094592203,^FCHI
Q1 1997,0.0006652035095375819,^FCHI
Q2 1997,0.0006652035095375819,^FCHI
Q3 1997,0.0006652035095375819,^FCHI
Q4 1997,0.0006652035095375819,^FCHI
Q1 1998,0.014312939722982643,^FCHI
Q2 1998,0.014312939722982643,^FCHI
Q3 1998,0.014312939722982643,^FCHI
Q4 1998,0.014312939722982643,^FCHI
Q1 1999,-0.002206066647168048,^FCHI
Q2 1999,-0.002206066647168048,^FCHI
Q3 1999,-0.002206066647168048,^FCHI
Q4 1999,-0.002206066647168048,^FCHI
Q1 2000,0.0013748154218780062,^FCHI
Q2 2000,0.0013748154218780062,^FCHI
Q3 2000,0.0013748154218780062,^FCHI
Q4 2000,0.0013748154218780062,^FCHI
Q1 2001,0.00029537246938482475,^FCHI
Q2 2001,0.00029537246938482475,^FCHI
Q3 2001,0.00029537246938482475,^FCHI
Q4 2001,0.00029537246938482475,^FCHI
Q1 2002,0.0006960283121297817,^FCHI
Q2 2002,0.0006960283121297817,^FCHI
Q3 2002,0.0006960283121297817,^FCHI
Q4 2002,0.0006960283121297817,^FCHI
Q1 2003,-0.0005958932916590998,^FCHI
Q2 2003,-0.0005958932916590998,^FCHI
Q3 2003,-0.0005958932916590998,^FCHI
Q4 2003,-0.0005958932916590998,^FCHI
Q1 2004,0.00010923425801179221,^FCHI
Q2 2004,0.00010923425801179221,^FCHI
Q3 2004,0.00010923425801179221,^FCHI
Q4 2004,0.00010923425801179221,^FCHI
Q1 2005,-0.0003712294783334569,^FCHI
Q2 2005,-0.0003712294783334569,^FCHI
Q3 2005,-0.0003712294783334569,^FCHI
Q4 2005,-0.0003712294783334569,^FCHI
Q1 2006,0.00036985071757378307,^FCHI
Q2 2006,0.00036985071757378307,^FCHI
Q3 2006,0.00036985071757378307,^FCHI
Q4 2006,0.00036985071757378307,^FCHI
Q1 2007,0.0006819787103191643,^FCHI
Q2 2007,0.0006819787103191643,^FCHI
Q3 2007,0.0006819787103191643,^FCHI
Q4 2007,0.0006819787103191643,^FCHI
Q1 2008,0.0013630624054681295,^FCHI
Q2 2008,0.0013630624054681295,^FCHI
Q3 2008,0.0013630624054681295,^FCHI
Q4 2008,0.0013630624054681295,^FCHI
Q1 2009,-0.0014938716286069242,^FCHI
Q2 2009,-0.0014938716286069242,^FCHI
Q3 2009,-0.0014938716286069242,^FCHI
Q4 2009,-0.0014938716286069242,^FCHI
Q1 2010,0.00017624997844234436,^FCHI
Q2 2010,0.00017624997844234436,^FCHI
Q3 2010,0.00017624997844234436,^FCHI
Q4 2010,0.00017624997844234436,^FCHI
Q1 2011,0.0005287691269539874,^FCHI
Q2 2011,0.0005287691269539874,^FCHI
Q3 2011,0.0005287691269539874,^FCHI
Q4 2011,0.0005287691269539874,^FCHI
Q1 2012,-0.0007650967517780494,^FCHI
Q2 2012,-0.0007650967517780494,^FCHI
Q3 2012,-0.0007650967517780494,^FCHI
Q4 2012,-0.0007650967517780494,^FCHI
Q1 2013,-0.00047909739401330587,^FCHI
Q2 2013,-0.00047909739401330587,^FCHI
Q3 2013,-0.00047909739401330587,^FCHI
Q4 2013,-0.00047909739401330587,^FCHI
Q1 2014,0.0004150684956996109,^FCHI
