Quarter,Percentage Change,index
Q1 1975,0.0,^GDAXI
Q2 1975,0.0,^GDAXI
Q3 1975,0.0,^GDAXI
Q4 1975,0.0,^GDAXI
Q1 1976,-7.759024740261466e-05,^GDAXI
Q2 1976,-7.759024740261466e-05,^GDAXI
Q3 1976,-7.759024740261466e-05,^GDAXI
Q4 1976,-7.759024740261466e-05,^GDAXI
Q1 1977,5.666664315540082e-05,^GDAXI
Q2 1977,5.666664315540082e-05,^GDAXI
Q3 1977,5.666664315540082e-05,^GDAXI
Q4 1977,5.666664315540082e-05,^GDAXI
Q1 1978,0.0002760477054595256,^GDAXI
Q2 1978,0.0002760477054595256,^GDAXI
Q3 1978,0.0002760477054595256,^GDAXI
Q4 1978,0.0002760477054595256,^GDAXI
Q1 1979,-0.0004232677951168107,^GDAXI
Q2 1979,-0.0004232677951168107,^GDAXI
Q3 1979,-0.0004232677951168107,^GDAXI
Q4 1979,-0.0004232677951168107,^GDAXI
Q1 1980,0.00014221585409979198,^GDAXI
Q2 1980,0.00014221585409979198,^GDAXI
Q3 1980,0.00014221585409979198,^GDAXI
Q4 1980,0.00014221585409979198,^GDAXI
Q1 1981,0.00027416052590067963,^GDAXI
Q2 1981,0.00027416052590067963,^GDAXI
Q3 1981,0.00027416052590067963,^GDAXI
Q4 1981,0.00027416052590067963,^GDAXI
Q1 1982,-4.9797947129781583e-05,^GDAXI
Q2 1982,-4.9797947129781583e-05,^GDAXI
Q3 1982,-4.9797947129781583e-05,^GDAXI
Q4 1982,-4.9797947129781583e-05,^GDAXI
Q1 1983,0.001837437859303126,^GDAXI
Q2 1983,0.001837437859303126,^GDAXI
Q3 1983,0.001837437859303126,^GDAXI
Q4 1983,0.001837437859303126,^GDAXI
Q1 1984,-0.0001970044885072353,^GDAXI
Q2 1984,-0.0001970044885072353,^GDAXI
Q3 1984,-0.0001970044885072353,^GDAXI
Q4 1984,-0.0001970044885072353,^GDAXI
Q1 1985,0.0009948250947460213,^GDAXI
Q2 1985,0.0009948250947460213,^GDAXI
Q3 1985,0.0009948250947460213,^GDAXI
Q4 1985,0.0009948250947460213,^GDAXI
Q1 1986,0.0005672604158695194,^GDAXI
Q2 1986,0.0005672604158695194,^GDAXI
Q3 1986,0.0005672604158695194,^GDAXI
Q4 1986,0.0005672604158695194,^GDAXI
Q1 1987,0.005693715666484689,^GDAXI
