Quarter,Percentage Change,index
Q1 1975,0.0,^HSI
Q2 1975,0.0,^HSI
Q3 1975,0.0,^HSI
Q4 1975,0.0,^HSI
Q1 1976,-0.0001899686877981921,^HSI
Q2 1976,-0.0001899686877981921,^HSI
Q3 1976,-0.0001899686877981921,^HSI
Q4 1976,-0.0001899686877981921,^HSI
Q1 1977,-0.0010917290802303636,^HSI
Q2 1977,-0.0010917290802303636,^HSI
Q3 1977,-0.0010917290802303636,^HSI
Q4 1977,-0.0010917290802303636,^HSI
Q1 1978,3.5749125454342945e-05,^HSI
Q2 1978,3.5749125454342945e-05,^HSI
Q3 1978,3.5749125454342945e-05,^HSI
Q4 1978,3.5749125454342945e-05,^HSI
Q1 1979,0.0013225853402529797,^HSI
Q2 1979,0.0013225853402529797,^HSI
Q3 1979,0.0013225853402529797,^HSI
Q4 1979,0.0013225853402529797,^HSI
Q1 1980,-0.0014729807336540945,^HSI
Q2 1980,-0.0014729807336540945,^HSI
Q3 1980,-0.0014729807336540945,^HSI
Q4 1980,-0.0014729807336540945,^HSI
Q1 1981,0.0,^HSI
Q2 1981,0.0,^HSI
Q3 1981,0.0,^HSI
Q4 1981,0.0,^HSI
Q1 1982,0.0,^HSI
Q2 1982,0.0,^HSI
Q3 1982,0.0,^HSI
Q4 1982,0.0,^HSI
Q1 1983,0.0,^HSI
Q2 1983,0.0,^HSI
Q3 1983,0.0,^HSI
Q4 1983,0.0,^HSI
Q1 1984,0.0,^HSI
Q2 1984,0.0,^HSI
Q3 1984,0.0,^HSI
Q4 1984,0.0,^HSI
Q1 1985,0.0,^HSI
Q2 1985,0.0,^HSI
Q3 1985,0.0,^HSI
Q4 1985,0.0,^HSI
Q1 1986,0.031668744723151177,^HSI
Q2 1986,0.031668744723151177,^HSI
Q3 1986,0.031668744723151177,^HSI
Q4 1986,0.031668744723151177,^HSI
Q1 1987,0.004844746098856101,^HSI
Q2 1987,0.004844746098856101,^HSI
Q3 1987,0.004844746098856101,^HSI
Q4 1987,0.004844746098856101,^HSI
Q1 1988,-0.001566517367301512,^HSI
Q2 1988,-0.001566517367301512,^HSI
Q3 1988,-0.001566517367301512,^HSI
Q4 1988,-0.001566517367301512,^HSI
Q1 1989,0.001039210459834683,^HSI
Q2 1989,0.001039210459834683,^HSI
Q3 1989,0.001039210459834683,^HSI
Q4 1989,0.001039210459834683,^HSI
Q1 1990,-0.00017445237013513637,^HSI
Q2 1990,-0.00017445237013513637,^HSI
Q3 1990,-0.00017445237013513637,^HSI
Q4 1990,-0.00017445237013513637,^HSI
Q1 1991,-0.0005951911955222045,^HSI
Q2 1991,-0.0005951911955222045,^HSI
Q3 1991,-0.0005951911955222045,^HSI
Q4 1991,-0.0005951911955222045,^HSI
Q1 1992,0.001106014457204596,^HSI
Q2 1992,0.001106014457204596,^HSI
Q3 1992,0.001106014457204596,^HSI
Q4 1992,0.001106014457204596,^HSI
Q1 1993,-0.0006201369588225703,^HSI
Q2 1993,-0.0006201369588225703,^HSI
Q3 1993,-0.0006201369588225703,^HSI
Q4 1993,-0.0006201369588225703,^HSI
Q1 1994,0.0008983396037989255,^HSI
Q2 1994,0.0008983396037989255,^HSI
Q3 1994,0.0008983396037989255,^HSI
