Quarter,Percentage Change,index
Q1 2000,0.0,^BSESN
Q2 2000,0.0,^BSESN
Q3 2000,0.0,^BSESN
Q4 2000,0.0,^BSESN
Q1 2001,-0.0006659426015400705,^BSESN
Q2 2001,-0.0006659426015400705,^BSESN
Q3 2001,-0.0006659426015400705,^BSESN
Q4 2001,-0.0006659426015400705,^BSESN
Q1 2002,-0.0007868349994334389,^BSESN
Q2 2002,-0.0007868349994334389,^BSESN
Q3 2002,-0.0007868349994334389,^BSESN
Q4 2002,-0.0007868349994334389,^BSESN
Q1 2003,-0.0004997479722581577,^BSESN
Q2 2003,-0.0004997479722581577,^BSESN
Q3 2003,-0.0004997479722581577,^BSESN
Q4 2003,-0.0004997479722581577,^BSESN
Q1 2004,-2.1415490425003014e-05,^BSESN
Q2 2004,-2.1415490425003014e-05,^BSESN
Q3 2004,-2.1415490425003014e-05,^BSESN
Q4 2004,-2.1415490425003014e-05,^BSESN
Q1 2005,-0.0004109822752353942,^BSESN
Q2 2005,-0.0004109822752353942,^BSESN
Q3 2005,-0.0004109822752353942,^BSESN
Q4 2005,-0.0004109822752353942,^BSESN
Q1 2006,-0.00015413154113652627,^BSESN
Q2 2006,-0.00015413154113652627,^BSESN
Q3 2006,-0.00015413154113652627,^BSESN
Q4 2006,-0.00015413154113652627,^BSESN
Q1 2007,-0.0005475885832109118,^BSESN
Q2 2007,-0.0005475885832109118,^BSESN
Q3 2007,-0.0005475885832109118,^BSESN
Q4 2007,-0.0005475885832109118,^BSESN
Q1 2008,0.0033788306110613675,^BSESN
Q2 2008,0.0033788306110613675,^BSESN
Q3 2008,0.0033788306110613675,^BSESN
Q4 2008,0.0033788306110613675,^BSESN
Q1 2009,-0.0010359767702308176,^BSESN
Q2 2009,-0.0010359767702308176,^BSESN
Q3 2009,-0.0010359767702308176,^BSESN
Q4 2009,-0.0010359767702308176,^BSESN
Q1 2010,-0.000542205648568217,^BSESN
Q2 2010,-0.000542205648568217,^BSESN
Q3 2010,-0.000542205648568217,^BSESN
Q4 2010,-0.000542205648568217,^BSESN
Q1 2011,-2.8390449003490303e-05,^BSESN
Q2 2011,-2.8390449003490303e-05,^BSESN
Q3 2011,-2.8390449003490303e-05,^BSESN
Q4 2011,-2.8390449003490303e-05,^BSESN
Q1 2012,-0.0005745502072747044,^BSESN
Q2 2012,-0.0005745502072747044,^BSESN
Q3 2012,-0.0005745502072747044,^BSESN
Q4 2012,-0.0005745502072747044,^BSESN
Q1 2013,-3.870039152242821e-05,^BSESN
Q2 2013,-3.870039152242821e-05,^BSESN
Q3 2013,-3.870039152242821e-05,^BSESN
Q4 2013,-3.870039152242821e-05,^BSESN
Q1 2014,4.242772300155906e-07,^BSESN
Q2 2014,4.242772300155906e-07,^BSESN
Q3 2014,4.242772300155906e-07,^BSESN
Q4 2014,4.242772300155906e-07,^BSESN
Q1 2015,4.5576254112944525e-05,^BSESN
Q2 2015,4.5576254112944525e-05,^BSESN
Q3 2015,4.5576254112944525e-05,^BSESN
Q4 2015,4.5576254112944525e-05,^BSESN
Q1 2016,1.7556432652110487e-05,^BSESN
Q2 2016,1.7556432652110487e-05,^BSESN
Q3 2016,1.7556432652110487e-05,^BSESN
Q4 2016,1.7556432652110487e-05,^BSESN
Q1 2017,4.577439196173927e-05,^BSESN
Q2 2017,4.577439196173927e-05,^BSESN
Q3 2017,4.577439196173927e-05,^BSESN
Q4 2017,4.577439196173927e-05,^BSESN
Q1 2018,0.0005106348723766807,^BSESN
Q2 2018,0.0005106348723766807,^BSESN
Q3 2018,0.0005106348723766807,^BSESN
Q4 2018,0.0005106348723766807,^BSESN
Q1 2019,-2.452535472474704e-05,^BSESN
Q2 2019,-2.452535472474704e-05,^BSESN
Q3 2019,-2.452535472474704e-05,^BSESN
Q4 2019,-2.452535472474704e-05,^BSESN
Q1 2020,0.0008321730256732884,^BSESN
