Date,YOY (%),index
1/1/1975,0,^N225
1/1/1976,0.199890588,^N225
1/1/1977,8.37343564,^N225
1/1/1978,0.188011789,^N225
1/1/1979,-0.898648106,^N225
1/1/1980,-0.173665338,^N225
1/1/1981,0.291307772,^N225
1/1/1982,-0.316356986,^N225
1/1/1983,0.188571091,^N225
1/1/1984,-0.003183951,^N225
1/1/1985,-0.034359684,^N225
1/1/1986,0.350428052,^N225
1/1/1987,0.139933018,^N225
1/1/1988,-0.091605217,^N225
1/1/1989,-0.087436806,^N225
1/1/1990,-0.141055415,^N225
1/1/1991,-0.34801709,^N225
1/1/1992,-0.216046172,^N225
1/1/1993,0.164090856,^N225
1/1/1994,-0.048783005,^N225
1/1/1995,0.084169182,^N225
1/1/1996,0.220026203,^N225
1/1/1997,0.2692002,^N225
1/1/1998,-0.142596368,^N225
1/1/1999,0.062499154,^N225
1/1/2000,0.725802913,^N225
1/1/2001,-0.043594682,^N225
1/1/2002,0.114049784,^N225
1/1/2003,-0.058531668,^N225
1/1/2004,0.232937351,^N225
1/1/2005,-0.02400764,^N225
1/1/2006,0.256313373,^N225
1/1/2007,0.276046391,^N225
1/1/2008,0.310391654,^N225
1/1/2009,-0.412837973,^N225
1/1/2010,-0.046496224,^N225
1/1/2011,0.161854343,^N225
1/1/2012,-0.257865302,^N225
1/1/2013,0.391953745,^N225
1/1/2014,-0.173540109,^N225
1/1/2015,0.028575689,^N225
1/1/2016,-0.072694638,^N225
1/1/2017,-0.120227213,^N225
1/1/2018,0.28169698,^N225
1/1/2019,-0.308181716,^N225
