Quarter,Percentage Change,index
Q1 1980,0.0,^SSMI
Q2 1980,0.0,^SSMI
Q3 1980,0.0,^SSMI
Q4 1980,0.0,^SSMI
Q1 1981,0.00013602981131843883,^SSMI
Q2 1981,0.00013602981131843883,^SSMI
Q3 1981,0.00013602981131843883,^SSMI
Q4 1981,0.00013602981131843883,^SSMI
Q1 1982,0.0,^SSMI
Q2 1982,0.0,^SSMI
Q3 1982,0.0,^SSMI
Q4 1982,0.0,^SSMI
Q1 1983,0.0011781964487009855,^SSMI
Q2 1983,0.0011781964487009855,^SSMI
Q3 1983,0.0011781964487009855,^SSMI
Q4 1983,0.0011781964487009855,^SSMI
Q1 1984,0.0003315498431035735,^SSMI
Q2 1984,0.0003315498431035735,^SSMI
Q3 1984,0.0003315498431035735,^SSMI
Q4 1984,0.0003315498431035735,^SSMI
Q1 1985,-0.0005421741949344083,^SSMI
Q2 1985,-0.0005421741949344083,^SSMI
Q3 1985,-0.0005421741949344083,^SSMI
Q4 1985,-0.0005421741949344083,^SSMI
Q1 1986,-0.0015091437238685668,^SSMI
Q2 1986,-0.0015091437238685668,^SSMI
Q3 1986,-0.0015091437238685668,^SSMI
Q4 1986,-0.0015091437238685668,^SSMI
Q1 1987,0.005559536537265597,^SSMI
Q2 1987,0.005559536537265597,^SSMI
Q3 1987,0.005559536537265597,^SSMI
Q4 1987,0.005559536537265597,^SSMI
Q1 1988,-0.00039649717769074666,^SSMI
Q2 1988,-0.00039649717769074666,^SSMI
Q3 1988,-0.00039649717769074666,^SSMI
Q4 1988,-0.00039649717769074666,^SSMI
Q1 1989,-0.0003144518913974492,^SSMI
Q2 1989,-0.0003144518913974492,^SSMI
Q3 1989,-0.0003144518913974492,^SSMI
Q4 1989,-0.0003144518913974492,^SSMI
Q1 1990,0.0001240767930139608,^SSMI
Q2 1990,0.0001240767930139608,^SSMI
Q3 1990,0.0001240767930139608,^SSMI
Q4 1990,0.0001240767930139608,^SSMI
Q1 1991,-0.002125434881157351,^SSMI
Q2 1991,-0.002125434881157351,^SSMI
Q3 1991,-0.002125434881157351,^SSMI
Q4 1991,-0.002125434881157351,^SSMI
Q1 1992,-9.439162882840524e-05,^SSMI
Q2 1992,-9.439162882840524e-05,^SSMI
Q3 1992,-9.439162882840524e-05,^SSMI
Q4 1992,-9.439162882840524e-05,^SSMI
Q1 1993,0.002124422763902567,^SSMI
Q2 1993,0.002124422763902567,^SSMI
Q3 1993,0.002124422763902567,^SSMI
Q4 1993,0.002124422763902567,^SSMI
Q1 1994,0.0007458255913337375,^SSMI
Q2 1994,0.0007458255913337375,^SSMI
Q3 1994,0.0007458255913337375,^SSMI
Q4 1994,0.0007458255913337375,^SSMI
Q1 1995,-0.0002664384027206701,^SSMI
Q2 1995,-0.0002664384027206701,^SSMI
Q3 1995,-0.0002664384027206701,^SSMI
Q4 1995,-0.0002664384027206701,^SSMI
Q1 1996,0.0007342241813952377,^SSMI
Q2 1996,0.0007342241813952377,^SSMI
Q3 1996,0.0007342241813952377,^SSMI
Q4 1996,0.0007342241813952377,^SSMI
Q1 1997,-0.0002367537177144774,^SSMI
Q2 1997,-0.0002367537177144774,^SSMI
Q3 1997,-0.0002367537177144774,^SSMI
Q4 1997,-0.0002367537177144774,^SSMI
Q1 1998,0.00015785343950391884,^SSMI
Q2 1998,0.00015785343950391884,^SSMI
Q3 1998,0.00015785343950391884,^SSMI
Q4 1998,0.00015785343950391884,^SSMI
Q1 1999,-0.0007832088663536352,^SSMI
Q2 1999,-0.0007832088663536352,^SSMI
Q3 1999,-0.0007832088663536352,^SSMI
Q4 1999,-0.0007832088663536352,^SSMI
Q1 2000,0.0004164190006072932,^SSMI
Q2 2000,0.0004164190006072932,^SSMI
Q3 2000,0.0004164190006072932,^SSMI
Q4 2000,0.0004164190006072932,^SSMI
Q1 2001,0.0009732674385880546,^SSMI
Q2 2001,0.0009732674385880546,^SSMI
Q3 2001,0.0009732674385880546,^SSMI
Q4 2001,0.0009732674385880546,^SSMI
Q1 2002,-0.0007004035892482774,^SSMI
Q2 2002,-0.0007004035892482774,^SSMI
Q3 2002,-0.0007004035892482774,^SSMI
Q4 2002,-0.0007004035892482774,^SSMI
Q1 2003,-0.0005746281565639499,^SSMI
Q2 2003,-0.0005746281565639499,^SSMI
Q3 2003,-0.0005746281565639499,^SSMI
Q4 2003,-0.0005746281565639499,^SSMI
Q1 2004,-0.002293585475432791,^SSMI
Q2 2004,-0.002293585475432791,^SSMI
Q3 2004,-0.002293585475432791,^SSMI
Q4 2004,-0.002293585475432791,^SSMI
Q1 2005,0.0003521486108604144,^SSMI
Q2 2005,0.0003521486108604144,^SSMI
Q3 2005,0.0003521486108604144,^SSMI
Q4 2005,0.0003521486108604144,^SSMI
Q1 2006,0.00027640595350431063,^SSMI
Q2 2006,0.00027640595350431063,^SSMI
Q3 2006,0.00027640595350431063,^SSMI
Q4 2006,0.00027640595350431063,^SSMI
Q1 2007,0.03271004463366167,^SSMI
Q2 2007,0.03271004463366167,^SSMI
Q3 2007,0.03271004463366167,^SSMI
Q4 2007,0.03271004463366167,^SSMI
Q1 2008,0.0015574225384547002,^SSMI
Q2 2008,0.0015574225384547002,^SSMI
Q3 2008,0.0015574225384547002,^SSMI
Q4 2008,0.0015574225384547002,^SSMI
Q1 2009,-0.001375286551808741,^SSMI
Q2 2009,-0.001375286551808741,^SSMI
Q3 2009,-0.001375286551808741,^SSMI
Q4 2009,-0.001375286551808741,^SSMI
Q1 2010,-4.0570696405395346e-05,^SSMI
Q2 2010,-4.0570696405395346e-05,^SSMI
Q3 2010,-4.0570696405395346e-05,^SSMI
Q4 2010,-4.0570696405395346e-05,^SSMI
Q1 2011,0.000167881803817993,^SSMI
Q2 2011,0.000167881803817993,^SSMI
Q3 2011,0.000167881803817993,^SSMI
Q4 2011,0.000167881803817993,^SSMI
Q1 2012,-0.0009222515501443596,^SSMI
Q2 2012,-0.0009222515501443596,^SSMI
Q3 2012,-0.0009222515501443596,^SSMI
Q4 2012,-0.0009222515501443596,^SSMI
Q1 2013,-0.00013482966610733893,^SSMI
Q2 2013,-0.00013482966610733893,^SSMI
Q3 2013,-0.00013482966610733893,^SSMI
Q4 2013,-0.00013482966610733893,^SSMI
Q1 2014,0.00020274759428473565,^SSMI
Q2 2014,0.00020274759428473565,^SSMI
Q3 2014,0.00020274759428473565,^SSMI
Q4 2014,0.00020274759428473565,^SSMI
Q1 2015,0.0007010688465745041,^SSMI
Q2 2015,0.0007010688465745041,^SSMI
Q3 2015,0.0007010688465745041,^SSMI
Q4 2015,0.0007010688465745041,^SSMI
Q1 2016,-0.00012773089068673915,^SSMI
Q2 2016,-0.00012773089068673915,^SSMI
Q3 2016,-0.00012773089068673915,^SSMI
Q4 2016,-0.00012773089068673915,^SSMI
Q1 2017,-0.00014370202994273829,^SSMI
Q2 2017,-0.00014370202994273829,^SSMI
Q3 2017,-0.00014370202994273829,^SSMI
Q4 2017,-0.00014370202994273829,^SSMI
Q1 2018,0.0003945337158026696,^SSMI
Q2 2018,0.0003945337158026696,^SSMI
Q3 2018,0.0003945337158026696,^SSMI
Q4 2018,0.0003945337158026696,^SSMI
Q1 2019,-0.000479064459200651,^SSMI
Q2 2019,-0.000479064459200651,^SSMI
Q3 2019,-0.000479064459200651,^SSMI
Q4 2019,-0.000479064459200651,^SSMI
Q1 2020,0.0006021145013663798,^SSMI
