Quarter,Percentage Change,index
Q1 1975,0.0,^FTLC
Q2 1975,0.0,^FTLC
Q3 1975,0.0,^FTLC
Q4 1975,0.0,^FTLC
Q1 1976,-0.00040710805048116416,^FTLC
Q2 1976,-0.00040710805048116416,^FTLC
Q3 1976,-0.00040710805048116416,^FTLC
Q4 1976,-0.00040710805048116416,^FTLC
Q1 1977,-0.0012889220594910489,^FTLC
Q2 1977,-0.0012889220594910489,^FTLC
Q3 1977,-0.0012889220594910489,^FTLC
Q4 1977,-0.0012889220594910489,^FTLC
Q1 1978,-0.00023834699789759828,^FTLC
Q2 1978,-0.00023834699789759828,^FTLC
Q3 1978,-0.00023834699789759828,^FTLC
Q4 1978,-0.00023834699789759828,^FTLC
Q1 1979,0.011309385018409834,^FTLC
Q2 1979,0.011309385018409834,^FTLC
Q3 1979,0.011309385018409834,^FTLC
Q4 1979,0.011309385018409834,^FTLC
Q1 1980,0.0004296686754121648,^FTLC
Q2 1980,0.0004296686754121648,^FTLC
Q3 1980,0.0004296686754121648,^FTLC
Q4 1980,0.0004296686754121648,^FTLC
Q1 1981,-0.0020715103128964296,^FTLC
Q2 1981,-0.0020715103128964296,^FTLC
Q3 1981,-0.0020715103128964296,^FTLC
Q4 1981,-0.0020715103128964296,^FTLC
Q1 1982,-9.216865930972151e-05,^FTLC
Q2 1982,-9.216865930972151e-05,^FTLC
Q3 1982,-9.216865930972151e-05,^FTLC
Q4 1982,-9.216865930972151e-05,^FTLC
Q1 1983,0.00032459541502194433,^FTLC
Q2 1983,0.00032459541502194433,^FTLC
Q3 1983,0.00032459541502194433,^FTLC
Q4 1983,0.00032459541502194433,^FTLC
Q1 1984,0.00020834015502613212,^FTLC
Q2 1984,0.00020834015502613212,^FTLC
Q3 1984,0.00020834015502613212,^FTLC
Q4 1984,0.00020834015502613212,^FTLC
Q1 1985,0.00014408341196436858,^FTLC
Q2 1985,0.00014408341196436858,^FTLC
Q3 1985,0.00014408341196436858,^FTLC
Q4 1985,0.00014408341196436858,^FTLC
Q1 1986,0.0002654547394651541,^FTLC
Q2 1986,0.0002654547394651541,^FTLC
Q3 1986,0.0002654547394651541,^FTLC
Q4 1986,0.0002654547394651541,^FTLC
Q1 1987,0.004048451106858364,^FTLC
Q2 1987,0.004048451106858364,^FTLC
Q3 1987,0.004048451106858364,^FTLC
Q4 1987,0.004048451106858364,^FTLC
Q1 1988,-0.0008536036018272908,^FTLC
Q2 1988,-0.0008536036018272908,^FTLC
Q3 1988,-0.0008536036018272908,^FTLC
Q4 1988,-0.0008536036018272908,^FTLC
Q1 1989,-0.00014579591657493118,^FTLC
Q2 1989,-0.00014579591657493118,^FTLC
Q3 1989,-0.00014579591657493118,^FTLC
Q4 1989,-0.00014579591657493118,^FTLC
Q1 1990,-0.00020456782343125646,^FTLC
Q2 1990,-0.00020456782343125646,^FTLC
Q3 1990,-0.00020456782343125646,^FTLC
Q4 1990,-0.00020456782343125646,^FTLC
Q1 1991,-0.0001455579876077362,^FTLC
Q2 1991,-0.0001455579876077362,^FTLC
Q3 1991,-0.0001455579876077362,^FTLC
Q4 1991,-0.0001455579876077362,^FTLC
Q1 1992,5.0339298804935595e-05,^FTLC
Q2 1992,5.0339298804935595e-05,^FTLC
Q3 1992,5.0339298804935595e-05,^FTLC
Q4 1992,5.0339298804935595e-05,^FTLC
Q1 1993,0.00013618783928270872,^FTLC
Q2 1993,0.00013618783928270872,^FTLC
Q3 1993,0.00013618783928270872,^FTLC
Q4 1993,0.00013618783928270872,^FTLC
Q1 1994,0.00035810452329854137,^FTLC
Q2 1994,0.00035810452329854137,^FTLC
Q3 1994,0.00035810452329854137,^FTLC
Q4 1994,0.00035810452329854137,^FTLC
Q1 1995,-0.00022562147609106464,^FTLC
Q2 1995,-0.00022562147609106464,^FTLC
Q3 1995,-0.00022562147609106464,^FTLC
Q4 1995,-0.00022562147609106464,^FTLC
Q1 1996,-0.0002204355120116741,^FTLC
Q2 1996,-0.0002204355120116741,^FTLC
Q3 1996,-0.0002204355120116741,^FTLC
Q4 1996,-0.0002204355120116741,^FTLC
Q1 1997,0.00044032678559946525,^FTLC
Q2 1997,0.00044032678559946525,^FTLC
Q3 1997,0.00044032678559946525,^FTLC
Q4 1997,0.00044032678559946525,^FTLC
Q1 1998,0.00030903761910816563,^FTLC
Q2 1998,0.00030903761910816563,^FTLC
Q3 1998,0.00030903761910816563,^FTLC
Q4 1998,0.00030903761910816563,^FTLC
Q1 1999,0.00014937043937490735,^FTLC
Q2 1999,0.00014937043937490735,^FTLC
Q3 1999,0.00014937043937490735,^FTLC
Q4 1999,0.00014937043937490735,^FTLC
Q1 2000,0.001189065430909908,^FTLC
Q2 2000,0.001189065430909908,^FTLC
Q3 2000,0.001189065430909908,^FTLC
Q4 2000,0.001189065430909908,^FTLC
Q1 2001,0.0005956594134173265,^FTLC
Q2 2001,0.0005956594134173265,^FTLC
Q3 2001,0.0005956594134173265,^FTLC
Q4 2001,0.0005956594134173265,^FTLC
Q1 2002,-0.0008999111339533794,^FTLC
Q2 2002,-0.0008999111339533794,^FTLC
Q3 2002,-0.0008999111339533794,^FTLC
Q4 2002,-0.0008999111339533794,^FTLC
Q1 2003,-0.00022531916164836296,^FTLC
Q2 2003,-0.00022531916164836296,^FTLC
Q3 2003,-0.00022531916164836296,^FTLC
Q4 2003,-0.00022531916164836296,^FTLC
Q1 2004,0.0003028325833656087,^FTLC
Q2 2004,0.0003028325833656087,^FTLC
Q3 2004,0.0003028325833656087,^FTLC
Q4 2004,0.0003028325833656087,^FTLC
Q1 2005,-4.380649092894373e-05,^FTLC
Q2 2005,-4.380649092894373e-05,^FTLC
Q3 2005,-4.380649092894373e-05,^FTLC
Q4 2005,-4.380649092894373e-05,^FTLC
Q1 2006,0.0007288956443847194,^FTLC
Q2 2006,0.0007288956443847194,^FTLC
Q3 2006,0.0007288956443847194,^FTLC
Q4 2006,0.0007288956443847194,^FTLC
Q1 2007,0.001009571249588781,^FTLC
Q2 2007,0.001009571249588781,^FTLC
Q3 2007,0.001009571249588781,^FTLC
Q4 2007,0.001009571249588781,^FTLC
Q1 2008,0.0010652008966196558,^FTLC
Q2 2008,0.0010652008966196558,^FTLC
Q3 2008,0.0010652008966196558,^FTLC
Q4 2008,0.0010652008966196558,^FTLC
Q1 2009,-0.0007869124446083786,^FTLC
Q2 2009,-0.0007869124446083786,^FTLC
Q3 2009,-0.0007869124446083786,^FTLC
Q4 2009,-0.0007869124446083786,^FTLC
Q1 2010,0.00047759076164854974,^FTLC
Q2 2010,0.00047759076164854974,^FTLC
Q3 2010,0.00047759076164854974,^FTLC
Q4 2010,0.00047759076164854974,^FTLC
Q1 2011,-0.00033640400341339305,^FTLC
Q2 2011,-0.00033640400341339305,^FTLC
Q3 2011,-0.00033640400341339305,^FTLC
Q4 2011,-0.00033640400341339305,^FTLC
Q1 2012,-0.0006879669372023001,^FTLC
Q2 2012,-0.0006879669372023001,^FTLC
Q3 2012,-0.0006879669372023001,^FTLC
Q4 2012,-0.0006879669372023001,^FTLC
Q1 2013,-0.0010880531843460162,^FTLC
Q2 2013,-0.0010880531843460162,^FTLC
Q3 2013,-0.0010880531843460162,^FTLC
Q4 2013,-0.0010880531843460162,^FTLC
Q1 2014,0.0013853458655956885,^FTLC
