Date,Value,YOY (%)
2022-01-01,807706035351.75,0.88
2021-01-01,800640155387.26,8.21
2020-01-01,739913619797.45,2.57
2019-01-01,721369112726.72,-0.58
2018-01-01,725562534363.90,4.37
2017-01-01,695200833086.50,-0.06
2016-01-01,695600652899.28,-0.93
2015-01-01,702149580770.90,-4.39
2014-01-01,734396591036.93,3.04
2013-01-01,712748124222.61,2.98
2012-01-01,692109693986.89,-4.15
2011-01-01,722038242134.62,19.65
2010-01-01,603434493402.68,8.10
2009-01-01,558199868578.26,-2.12
2008-01-01,570304197211.71,15.55
2007-01-01,493537376707.76,11.21
2006-01-01,443801905407.56,5.53
2005-01-01,420544947799.55,3.70
2004-01-01,405531321270.61,11.70
2003-01-01,363063293977.87,17.05
2002-01-01,310175772488.13,7.99
2001-01-01,287226531168.52,2.64
2000-01-01,279841151705.35,-6.26
1999-01-01,298520480628.41,-1.76
1998-01-01,303882354117.81,2.97
1997-01-01,295121356714.67,-13.32
1996-01-01,340471241909.39,-3.59
1995-01-01,353132515010.57,17.08
1994-01-01,301628489434.82,10.70
1993-01-01,272466458446.13,-2.75
1992-01-01,280156819798.04,4.10
1991-01-01,269127820781.03,1.18
1990-01-01,265987061618.20,27.71
1989-01-01,208280848462.62,-3.45
1988-01-01,215721878630.49,8.18
1987-01-01,199403912956.01,25.24
1986-01-01,159223703930.18,43.35
1985-01-01,111073640470.47,1.39
1984-01-01,109547355832.66,-4.52
1983-01-01,114730757467.49,-0.36
1982-01-01,115140108850.91,2.49
1981-01-01,112339195092.15,-8.41
1980-01-01,122660905890.08,497.62
1969-01-01,20524886616.48,8.35
1968-01-01,18942729779.10,6.78
1967-01-01,17740013179.26,7.65
1966-01-01,16480058704.85,7.38
1965-01-01,15346741669.76,5.98
1964-01-01,14480556571.55,10.85
1963-01-01,13063643795.79,9.96
1962-01-01,11879982758.56,10.90
1961-01-01,10712712465.05,12.50
1960-01-01,9522746719.22,
