Date,Value,YOY (%)
2023-03-01,1.65,-6.78
2023-02-01,1.75,4.17
2023-01-01,2.44,105.04
2022-12-01,1.96,-18.33
2022-11-01,1.76,-6.88
2022-10-01,1.76,-2.22
2022-09-01,4.33,202.80
2022-08-01,1.87,16.88
2022-07-01,1.87,-50.66
2022-06-01,1.88,168.57
2022-05-01,1.28,43.82
2022-04-01,1.28,62.03
2022-03-01,1.77,200.00
2022-02-01,1.68,320.00
2022-01-01,1.19,-54.92
2021-12-01,2.40,369.66
2021-11-01,1.89,572.50
2021-10-01,1.80,550.00
2021-09-01,1.43,157.43
2021-08-01,1.60,500.00
2021-07-01,3.79,257.92
2021-06-01,0.70,-22.22
2021-05-01,0.89,-48.26
2021-04-01,0.79,-58.85
2021-03-01,0.59,-76.77
2021-02-01,0.40,-82.83
2021-01-01,2.64,266.67
2020-12-01,-0.89,-131.12
2020-11-01,-0.40,-112.58
2020-10-01,-0.40,-112.16
2020-09-01,-2.49,-178.06
2020-08-01,-0.40,-111.76
2020-07-01,-2.40,-172.73
2020-06-01,0.90,-71.96
2020-05-01,1.72,-36.30
2020-04-01,1.92,-34.02
2020-03-01,2.54,22.71
2020-02-01,2.33,12.56
2020-01-01,0.72,-70.12
2019-12-01,2.86,13.94
2019-11-01,3.18,26.19
2019-10-01,3.29,25.10
2019-09-01,3.19,16.00
2019-08-01,3.40,46.55
2019-07-01,3.30,42.24
2019-06-01,3.21,31.56
2019-05-01,2.70,27.36
2019-04-01,2.91,53.16
2019-03-01,2.07,-18.82
2019-02-01,2.07,-33.01
2019-01-01,2.41,41.76
2018-12-01,2.51,47.65
2018-11-01,2.52,57.50
2018-10-01,2.63,63.35
2018-09-01,2.75,97.84
2018-08-01,2.32,19.59
2018-07-01,2.32,19.59
2018-06-01,2.44,25.13
2018-05-01,2.12,3.41
2018-04-01,1.90,-7.32
2018-03-01,2.55,381.13
2018-02-01,3.09,2909.09
2018-01-01,1.70,31.78
2017-12-01,1.70,42.86
2017-11-01,1.60,23.08
2017-10-01,1.61,35.29
2017-09-01,1.39,-47.35
2017-08-01,1.94,-55.71
2017-07-01,1.94,-16.02
2017-06-01,1.95,-20.08
2017-05-01,2.05,-19.61
2017-04-01,2.05,-22.93
2017-03-01,0.53,-81.47
2017-02-01,-0.11,-103.72
2017-01-01,1.29,-49.21
2016-12-01,1.19,-48.71
2016-11-01,1.30,-41.18
2016-10-01,1.19,-46.15
2016-09-01,2.64,30.69
2016-08-01,4.38,45.51
2016-07-01,2.31,-11.15
2016-06-01,2.44,-17.57
2016-05-01,2.55,-14.14
2016-04-01,2.66,-6.67
2016-03-01,2.86,-34.40
2016-02-01,2.96,-33.78
2016-01-01,2.54,-36.97
2015-12-01,2.32,-52.26
2015-11-01,2.21,-56.75
2015-10-01,2.21,-56.84
2015-09-01,2.02,-69.30
2015-08-01,3.01,-24.18
2015-07-01,2.60,-35.00
2015-06-01,2.96,-19.13
2015-05-01,2.97,-19.07
2015-04-01,2.85,-22.13
2015-03-01,4.36,10.66
2015-02-01,4.47,13.74
2015-01-01,4.03,-11.82
2014-12-01,4.86,11.98
2014-11-01,5.11,17.20
2014-10-01,5.12,17.16
2014-09-01,6.58,42.12
2014-08-01,3.97,-12.17
2014-07-01,4.00,-42.11
2014-06-01,3.66,-9.85
2014-05-01,3.67,-6.85
2014-04-01,3.66,-9.85
2014-03-01,3.94,10.06
2014-02-01,3.93,-9.66
2014-01-01,4.57,53.87
2013-12-01,4.34,19.89
2013-11-01,4.36,15.65
2013-10-01,4.37,15.61
2013-09-01,4.63,22.81
2013-08-01,4.52,19.58
2013-07-01,6.91,316.27
2013-06-01,4.06,9.73
2013-05-01,3.94,-6.86
2013-04-01,4.06,-14.88
2013-03-01,3.58,-27.38
2013-02-01,4.35,-7.05
2013-01-01,2.97,-50.83
2012-12-01,3.62,-36.27
2012-11-01,3.77,-34.09
2012-10-01,3.78,-34.03
2012-09-01,3.77,-34.66
2012-08-01,3.78,-34.72
2012-07-01,1.66,-79.25
2012-06-01,3.70,-34.63
2012-05-01,4.23,-19.58
2012-04-01,4.77,4.15
2012-03-01,4.93,13.86
2012-02-01,4.68,28.57
2012-01-01,6.04,70.62
2011-12-01,5.68,89.97
2011-11-01,5.72,109.52
2011-10-01,5.73,132.93
2011-09-01,5.77,194.39
2011-08-01,5.79,156.19
2011-07-01,8.00,1354.55
2011-06-01,5.66,94.50
2011-05-01,5.26,100.00
2011-04-01,4.58,74.14
2011-03-01,4.33,95.93
2011-02-01,3.64,25.09
2011-01-01,3.54,185.48
2010-12-01,2.99,96.71
2010-11-01,2.73,228.92
2010-10-01,2.46,-2.38
2010-09-01,1.96,366.67
2010-08-01,2.26,236.14
2010-07-01,0.55,136.67
2010-06-01,2.91,450.60
2010-05-01,2.63,1778.57
2010-04-01,2.63,369.64
2010-03-01,2.21,97.32
2010-02-01,2.91,246.43
2010-01-01,1.24,-60.26
