Date,Value,YOY (%)
2022-08-01,2.61,161.00
2022-07-01,2.63,179.79
2022-06-01,2.62,116.53
2022-05-01,2.65,124.58
2022-04-01,2.80,122.22
2022-03-01,2.16,50.00
2022-02-01,1.71,27.61
2022-01-01,1.67,103.66
2021-12-01,1.36,74.36
2021-11-01,1.47,119.40
2021-10-01,1.44,148.28
2021-09-01,1.23,161.70
2021-08-01,1.00,72.41
2021-07-01,0.94,123.81
2021-06-01,1.21,86.15
2021-05-01,1.18,73.53
2021-04-01,1.26,110.00
2021-03-01,1.44,92.00
2021-02-01,1.34,27.62
2021-01-01,0.82,-41.43
2020-12-01,0.78,-57.14
2020-11-01,0.67,-56.21
2020-10-01,0.58,-62.34
2020-09-01,0.47,-62.10
2020-08-01,0.58,-48.67
2020-07-01,0.42,-74.39
2020-06-01,0.65,-61.31
2020-05-01,0.68,-57.23
2020-04-01,0.60,-64.07
2020-03-01,0.75,-48.98
2020-02-01,1.05,-41.34
2020-01-01,1.40,-23.08
2019-12-01,1.82,-8.08
2019-11-01,1.53,-33.19
2019-10-01,1.54,-36.63
2019-09-01,1.24,-48.33
2019-08-01,1.13,-48.64
2019-07-01,1.64,-25.45
2019-06-01,1.68,-24.32
2019-05-01,1.59,-27.06
2019-04-01,1.67,-23.74
2019-03-01,1.47,-25.38
2019-02-01,1.79,-11.39
2019-01-01,1.82,-10.34
2018-12-01,1.98,9.39
2018-11-01,2.29,22.46
2018-10-01,2.43,33.52
2018-09-01,2.40,40.35
2018-08-01,2.20,48.65
2018-07-01,2.20,46.67
2018-06-01,2.22,47.02
2018-05-01,2.18,67.69
2018-04-01,2.19,51.03
2018-03-01,1.97,21.60
2018-02-01,2.02,12.85
2018-01-01,2.03,5.18
2017-12-01,1.81,-4.74
2017-11-01,1.87,33.57
2017-10-01,1.82,66.97
2017-09-01,1.71,78.13
2017-08-01,1.48,52.58
2017-07-01,1.50,59.57
2017-06-01,1.51,43.81
2017-05-01,1.30,-2.26
2017-04-01,1.45,9.85
2017-03-01,1.62,26.56
2017-02-01,1.79,33.58
2017-01-01,1.93,16.27
2016-12-01,1.90,19.50
2016-11-01,1.40,-12.50
2016-10-01,1.09,-31.01
2016-09-01,0.96,-39.62
2016-08-01,0.97,-48.40
2016-07-01,0.94,-47.78
2016-06-01,1.05,-41.99
2016-05-01,1.33,-17.90
2016-04-01,1.32,-14.29
2016-03-01,1.28,-14.67
2016-02-01,1.34,-15.19
2016-01-01,1.66,19.42
2015-12-01,1.59,-17.19
2015-11-01,1.60,-9.60
2015-10-01,1.58,-17.28
2015-09-01,1.59,-22.44
2015-08-01,1.88,-1.05
2015-07-01,1.80,-13.46
2015-06-01,1.81,-12.56
2015-05-01,1.62,-18.18
2015-04-01,1.54,-30.63
2015-03-01,1.50,-36.71
2015-02-01,1.58,-29.46
2015-01-01,1.39,-39.57
2014-12-01,1.92,-18.30
2014-11-01,1.77,-18.06
2014-10-01,1.91,1.60
2014-09-01,2.05,-3.76
2014-08-01,1.90,-20.50
2014-07-01,2.08,-11.49
2014-06-01,2.07,-0.48
2014-05-01,1.98,33.78
2014-04-01,2.22,146.67
2014-03-01,2.37,104.31
2014-02-01,2.24,85.12
2014-01-01,2.30,82.54
2013-12-01,2.35,261.54
2013-11-01,2.16,254.10
2013-10-01,1.88,161.11
2013-09-01,2.13,173.08
2013-08-01,2.39,231.94
2013-07-01,2.35,245.59
2013-06-01,2.08,105.94
2013-05-01,1.48,42.31
2013-04-01,0.90,-25.00
2013-03-01,1.16,-10.08
2013-02-01,1.21,-8.33
2013-01-01,1.26,-3.08
2012-12-01,0.65,-57.52
2012-11-01,0.61,-56.43
2012-10-01,0.72,-56.89
2012-09-01,0.78,-44.68
2012-08-01,0.72,-62.11
2012-07-01,0.68,-71.78
2012-06-01,1.01,-58.26
2012-05-01,1.04,-59.85
2012-04-01,1.20,-56.52
2012-03-01,1.29,-55.05
2012-02-01,1.32,-55.70
2012-01-01,1.30,-56.23
2011-12-01,1.53,-49.67
2011-11-01,1.40,-47.76
2011-10-01,1.67,-28.63
2011-09-01,1.41,-35.62
2011-08-01,1.90,-10.80
2011-07-01,2.41,-0.82
2011-06-01,2.42,-2.81
2011-05-01,2.59,-4.07
2011-04-01,2.76,-10.39
2011-03-01,2.87,-4.33
2011-02-01,2.98,2.76
2011-01-01,2.97,-1.66
2010-12-01,3.04,9.35
2010-11-01,2.68,17.03
2010-10-01,2.34,0.86
2010-09-01,2.19,-13.78
2010-08-01,2.13,-16.80
2010-07-01,2.43,-3.57
2010-06-01,2.49,-11.39
2010-05-01,2.70,-9.40
2010-04-01,3.08,33.33
2010-03-01,3.00,40.85
2010-02-01,2.90,35.51
2010-01-01,3.02,64.13
2009-12-01,2.78,105.93
2009-11-01,2.29,18.04
2009-10-01,2.32,-4.13
2009-09-01,2.54,-13.61
2009-08-01,2.56,-15.23
2009-07-01,2.52,-31.71
2009-06-01,2.81,-20.40
2009-05-01,2.98,-8.87
2009-04-01,2.31,-17.20
2009-03-01,2.13,-19.01
2009-02-01,2.14,-26.21
2009-01-01,1.84,-31.09
2008-12-01,1.35,-60.98
2008-11-01,1.94,-39.38
2008-10-01,2.42,-37.63
2008-09-01,2.94,-33.48
2008-08-01,3.02,-33.19
2008-07-01,3.69,-20.65
2008-06-01,3.53,-26.30
2008-05-01,3.27,-28.76
2008-04-01,2.79,-34.97
2008-03-01,2.63,-37.38
2008-02-01,2.90,-30.62
2008-01-01,2.67,-35.82
2007-12-01,3.46,-7.49
2007-11-01,3.20,-16.01
2007-10-01,3.88,-0.51
2007-09-01,4.42,11.34
