Date,Value,YOY (%)
2023-09-01,1.09,-6.03
2023-08-01,0.95,20.25
2023-07-01,0.98,88.46
2023-06-01,0.97,-15.65
2023-05-01,0.85,8.97
2023-04-01,1.08,31.71
2023-03-01,1.23,80.88
2023-02-01,1.45,457.69
2023-01-01,1.26,2420.00
2022-12-01,1.57,1307.69
2022-11-01,1.06,560.87
2022-10-01,1.12,2340.00
2022-09-01,1.16,782.35
2022-08-01,0.79,325.71
2022-07-01,0.52,240.54
2022-06-01,1.15,675.00
2022-05-01,0.78,700.00
2022-04-01,0.82,490.48
2022-03-01,0.68,351.85
2022-02-01,0.26,213.04
2022-01-01,0.05,111.11
2021-12-01,-0.13,75.47
2021-11-01,-0.23,54.90
2021-10-01,-0.05,90.38
2021-09-01,-0.17,66.00
2021-08-01,-0.35,14.63
2021-07-01,-0.37,30.19
2021-06-01,-0.20,54.55
2021-05-01,-0.13,72.34
2021-04-01,-0.21,57.14
2021-03-01,-0.27,27.03
2021-02-01,-0.23,72.29
2021-01-01,-0.45,35.71
2020-12-01,-0.53,-15.22
2020-11-01,-0.51,12.07
2020-10-01,-0.52,-1.96
2020-09-01,-0.50,28.57
2020-08-01,-0.41,58.16
2020-07-01,-0.53,18.46
2020-06-01,-0.44,8.33
2020-05-01,-0.47,-4.44
2020-04-01,-0.49,-81.48
2020-03-01,-0.37,-5.71
2020-02-01,-0.83,-245.83
2020-01-01,-0.70,-233.33
2019-12-01,-0.46,-206.67
2019-11-01,-0.58,-2800.00
2019-10-01,-0.51,-828.57
2019-09-01,-0.70,-736.36
2019-08-01,-0.98,-3166.67
2019-07-01,-0.65,-1725.00
2019-06-01,-0.48,-4700.00
2019-05-01,-0.45,-4400.00
2019-04-01,-0.27,-325.00
2019-03-01,-0.35,-800.00
2019-02-01,-0.24,-300.00
2019-01-01,-0.21,-310.00
2018-12-01,-0.15,-50.00
2018-11-01,-0.02,60.00
2018-10-01,0.07,333.33
2018-09-01,0.11,450.00
2018-08-01,-0.03,72.73
2018-07-01,0.04,-33.33
2018-06-01,-0.01,66.67
2018-05-01,-0.01,93.33
2018-04-01,0.12,220.00
2018-03-01,0.05,150.00
2018-02-01,0.12,157.14
2018-01-01,0.10,242.86
2017-12-01,-0.10,28.57
2017-11-01,-0.05,61.54
2017-10-01,-0.03,91.67
2017-09-01,0.02,103.85
2017-08-01,-0.11,76.09
2017-07-01,0.06,111.11
2017-06-01,-0.03,94.12
2017-05-01,-0.15,50.00
2017-04-01,-0.10,60.00
2017-03-01,-0.10,74.36
2017-02-01,-0.21,53.33
2017-01-01,-0.07,76.67
2016-12-01,-0.14,-250.00
2016-11-01,-0.13,58.06
2016-10-01,-0.36,-33.33
2016-09-01,-0.52,-420.00
2016-08-01,-0.46,-283.33
2016-07-01,-0.54,-1250.00
2016-06-01,-0.51,-610.00
2016-05-01,-0.30,-900.00
2016-04-01,-0.25,-725.00
2016-03-01,-0.39,-4000.00
2016-02-01,-0.45,-4600.00
2016-01-01,-0.30,-328.57
2015-12-01,-0.04,-110.53
