Date,Value,YOY (%)
2023-09-01,4.38,24.43
2023-08-01,4.17,43.79
2023-07-01,3.90,34.48
2023-06-01,3.75,19.43
2023-05-01,3.57,23.10
2023-04-01,3.46,25.82
2023-03-01,3.66,71.83
2023-02-01,3.75,94.30
2023-01-01,3.53,100.57
2022-12-01,3.62,146.26
2022-11-01,3.89,149.36
2022-10-01,3.98,151.90
2022-09-01,3.52,156.93
2022-08-01,2.90,126.56
2022-07-01,2.90,119.70
2022-06-01,3.14,106.58
2022-05-01,2.90,79.01
2022-04-01,2.75,67.68
2022-03-01,2.13,32.30
2022-02-01,1.93,53.17
2022-01-01,1.76,62.96
2021-12-01,1.47,58.06
2021-11-01,1.56,79.31
2021-10-01,1.58,100.00
2021-09-01,1.37,101.47
2021-08-01,1.28,96.92
2021-07-01,1.32,112.90
2021-06-01,1.52,108.22
2021-05-01,1.62,141.79
2021-04-01,1.64,148.48
2021-03-01,1.61,85.06
2021-02-01,1.26,-16.00
2021-01-01,1.08,-38.64
2020-12-01,0.93,-50.00
2020-11-01,0.87,-51.93
2020-10-01,0.79,-53.80
2020-09-01,0.68,-60.00
2020-08-01,0.65,-60.12
2020-07-01,0.62,-69.90
2020-06-01,0.73,-64.73
2020-05-01,0.67,-72.08
2020-04-01,0.66,-73.91
2020-03-01,0.87,-66.15
2020-02-01,1.50,-44.03
2020-01-01,1.76,-35.06
2019-12-01,1.86,-34.28
2019-11-01,1.81,-41.99
2019-10-01,1.71,-45.71
2019-09-01,1.70,-43.33
2019-08-01,1.63,-43.60
2019-07-01,2.06,-28.72
2019-06-01,2.07,-28.87
2019-05-01,2.40,-19.46
2019-04-01,2.53,-11.85
2019-03-01,2.57,-9.51
2019-02-01,2.68,-6.29
2019-01-01,2.71,5.04
2018-12-01,2.83,17.92
2018-11-01,3.12,32.77
2018-10-01,3.15,33.47
2018-09-01,3.00,36.36
2018-08-01,2.89,30.77
2018-07-01,2.89,24.57
2018-06-01,2.91,32.88
2018-05-01,2.98,29.57
2018-04-01,2.87,24.78
2018-03-01,2.84,14.52
2018-02-01,2.86,18.18
2018-01-01,2.58,6.17
2017-12-01,2.40,-3.61
2017-11-01,2.35,9.81
2017-10-01,2.36,34.09
2017-09-01,2.20,34.97
2017-08-01,2.21,41.67
2017-07-01,2.32,54.67
2017-06-01,2.19,33.54
2017-05-01,2.30,27.07
2017-04-01,2.30,27.07
2017-03-01,2.48,31.22
2017-02-01,2.42,35.96
2017-01-01,2.43,16.27
2016-12-01,2.49,11.16
2016-11-01,2.14,-5.31
2016-10-01,1.76,-14.98
2016-09-01,1.63,-24.88
2016-08-01,1.56,-28.11
2016-07-01,1.50,-35.34
2016-06-01,1.64,-30.51
2016-05-01,1.81,-17.73
2016-04-01,1.81,-6.70
2016-03-01,1.89,-7.35
2016-02-01,1.78,-10.10
2016-01-01,2.09,11.17
2015-12-01,2.24,1.36
2015-11-01,2.26,-3.00
2015-10-01,2.07,-10.00
2015-09-01,2.17,-14.23
2015-08-01,2.17,-10.33
2015-07-01,2.32,-8.66
2015-06-01,2.36,-9.23
2015-05-01,2.20,-14.06
2015-04-01,1.94,-28.41
2015-03-01,2.04,-25.00
2015-02-01,1.98,-26.94
2015-01-01,1.88,-34.27
2014-12-01,2.21,-23.79
2014-11-01,2.33,-14.34
2014-10-01,2.30,-12.21
2014-09-01,2.53,-9.96
2014-08-01,2.42,-11.68
2014-07-01,2.54,-1.55
2014-06-01,2.60,13.04
2014-05-01,2.56,32.64
2014-04-01,2.71,53.98
2014-03-01,2.72,38.78
2014-02-01,2.71,36.87
2014-01-01,2.86,49.74
2013-12-01,2.90,68.60
2013-11-01,2.72,64.85
2013-10-01,2.62,49.71
2013-09-01,2.81,63.37
2013-08-01,2.74,63.10
2013-07-01,2.58,68.63
2013-06-01,2.30,41.98
2013-05-01,1.93,7.22
2013-04-01,1.76,-14.15
2013-03-01,1.96,-9.68
2013-02-01,1.98,0.51
2013-01-01,1.91,-3.05
2012-12-01,1.72,-13.13
2012-11-01,1.65,-17.91
2012-10-01,1.75,-18.60
2012-09-01,1.72,-13.13
2012-08-01,1.68,-26.96
2012-07-01,1.53,-49.00
2012-06-01,1.62,-46.00
2012-05-01,1.80,-43.22
2012-04-01,2.05,-40.75
2012-03-01,2.17,-36.36
2012-02-01,1.97,-44.97
2012-01-01,1.97,-41.89
2011-12-01,1.98,-39.82
2011-11-01,2.01,-27.17
2011-10-01,2.15,-15.35
2011-09-01,1.98,-25.28
2011-08-01,2.30,-14.81
2011-07-01,3.00,-0.33
2011-06-01,3.00,-6.25
2011-05-01,3.17,-7.31
2011-04-01,3.46,-10.13
2011-03-01,3.41,-8.58
2011-02-01,3.58,-2.98
2011-01-01,3.39,-9.12
2010-12-01,3.29,-8.36
2010-11-01,2.76,-18.82
2010-10-01,2.54,-25.07
2010-09-01,2.65,-22.06
2010-08-01,2.70,-24.79
2010-07-01,3.01,-15.45
2010-06-01,3.20,-13.98
2010-05-01,3.42,3.95
2010-04-01,3.85,31.40
2010-03-01,3.73,32.27
2010-02-01,3.69,28.57
2010-01-01,3.73,48.02
2009-12-01,3.59,48.35
2009-11-01,3.40,-3.68
2009-10-01,3.39,-11.02
2009-09-01,3.40,-7.86
2009-08-01,3.59,-7.71
2009-07-01,3.56,-11.22
2009-06-01,3.72,-9.27
2009-05-01,3.29,-15.21
2009-04-01,2.93,-20.38
2009-03-01,2.82,-19.66
2009-02-01,2.87,-23.26
2009-01-01,2.52,-32.62
2008-12-01,2.42,-40.98
2008-11-01,3.53,-14.94
2008-10-01,3.81,-15.89
2008-09-01,3.69,-18.36
2008-08-01,3.89,-16.70
2008-07-01,4.01,-19.80
2008-06-01,4.10,-19.61
2008-05-01,3.88,-18.32
2008-04-01,3.68,-21.54
2008-03-01,3.51,-23.03
2008-02-01,3.74,-20.76
2008-01-01,3.74,-21.43
2007-12-01,4.10,-10.09
2007-11-01,4.15,-9.78
2007-10-01,4.53,-4.23
2007-09-01,4.52,-4.24
2007-08-01,4.67,-4.30
2007-07-01,5.00,-1.77
2007-06-01,5.10,-0.20
2007-05-01,4.75,-7.05
2007-04-01,4.69,-6.01
2007-03-01,4.56,-3.39
2007-02-01,4.72,3.28
2007-01-01,4.76,7.69
2006-12-01,4.56,2.01
2006-11-01,4.60,1.32
2006-10-01,4.73,6.05
2006-09-01,4.72,12.38
2006-08-01,4.88,14.55
2006-07-01,5.09,21.77
2006-06-01,5.11,27.75
2006-05-01,5.11,23.43
2006-04-01,4.99,14.98
2006-03-01,4.72,4.89
2006-02-01,4.57,9.59
2006-01-01,4.42,4.74
2005-12-01,4.47,5.67
2005-11-01,4.54,8.35
2005-10-01,4.46,8.78
2005-09-01,4.20,1.69
2005-08-01,4.26,-0.47
2005-07-01,4.18,-7.11
2005-06-01,4.00,-15.43
2005-05-01,4.14,-12.29
2005-04-01,4.34,-0.23
2005-03-01,4.50,17.49
2005-02-01,4.17,2.21
2005-01-01,4.22,1.69
2004-12-01,4.23,-0.94
2004-11-01,4.19,-2.56
2004-10-01,4.10,-4.43
2004-09-01,4.13,-3.28
2004-08-01,4.28,-3.82
2004-07-01,4.50,13.07
2004-06-01,4.73,42.04
2004-05-01,4.72,32.21
2004-04-01,4.35,9.85
2004-03-01,3.83,0.52
2004-02-01,4.08,4.62
2004-01-01,4.15,2.47
2003-12-01,4.27,5.96
