Date,Value,YOY (%),index
2020-01-01,19.16,17.11,^N225
2019-01-01,16.36,20.92,^N225
2018-01-01,13.53,-40.34,^N225
2017-01-01,22.68,-9.1,^N225
2016-01-01,24.95,36.79,^N225
2015-01-01,18.24,-18.24,^N225
2014-01-01,22.31,10.34,^N225
2013-01-01,20.22,2.17,^N225
2012-01-01,19.79,-4.63,^N225
2011-01-01,20.75,-18.63,^N225
2010-01-01,25.5,-33.32,^N225
2009-01-01,38.24,45.95,^N225
2008-01-01,26.2,42.47,^N225
2007-01-01,18.39,12.61,^N225
2006-01-01,16.33,4.61,^N225
2005-01-01,15.61,-21.24,^N225
2004-01-01,19.82,-8.75,^N225
2003-01-01,21.72,-7.65,^N225
2002-01-01,23.52,5.52,^N225
2001-01-01,22.29,3.0,^N225
2000-01-01,21.64,-2.08,^N225
1999-01-01,22.1,1.56,^N225
1998-01-01,21.76,43.44,^N225
1997-01-01,15.17,-4.11,^N225
1996-01-01,15.82,-6.72,^N225
1995-01-01,16.96,-9.21,^N225
1994-01-01,18.68,-15.28,^N225
1993-01-01,22.05,0.68,^N225
1992-01-01,21.9,-11.8,^N225
1991-01-01,24.83,47.36,^N225
1990-01-01,16.85,21.49,^N225
1989-01-01,13.87,-44.83,^N225
1988-01-01,25.14,37.98,^N225
1987-01-01,18.22,61.38,^N225
1986-01-01,11.29,4.63,^N225
1985-01-01,10.79,10.1,^N225
1984-01-01,9.8,-2.68,^N225
1983-01-01,10.07,-10.88,^N225
1982-01-01,11.3,46.56,^N225
1981-01-01,7.71,12.06,^N225
1980-01-01,6.88,1.78,^N225
1979-01-01,6.76,-14.21,^N225
1978-01-01,7.88,-2.6,^N225
1977-01-01,8.09,-21.38,^N225
1976-01-01,10.29,-26.08,^N225
1975-01-01,13.92,-10.42,^N225
1974-01-01,14.93,-3.93,^N225
1973-01-01,15.54,2.64,^N225
1972-01-01,15.14,4.56,^N225
1971-01-01,14.48,-1.76,^N225
1970-01-01,14.74,24.49,^N225
1969-01-01,11.84,20.08,^N225
1968-01-01,9.86,-1.69,^N225
1967-01-01,10.03,-21.09,^N225
1966-01-01,12.71,14.71,^N225
1965-01-01,11.08,-21.59,^N225
1964-01-01,14.13,-7.77,^N225
1963-01-01,15.32,-0.2,^N225
1962-01-01,15.35,5.57,^N225
1961-01-01,14.54,1.47,^N225
1960-01-01,14.33,,^N225
