Date,Value,YOY (%),index
2020-01-01,19.03,45.38,^SSMI
2019-01-01,13.09,16.98,^SSMI
2018-01-01,11.19,-20.53,^SSMI
2017-01-01,14.08,-27.65,^SSMI
2016-01-01,19.46,18.01,^SSMI
2015-01-01,16.49,29.33,^SSMI
2014-01-01,12.75,-4.92,^SSMI
2013-01-01,13.41,-28.37,^SSMI
2012-01-01,18.72,15.06,^SSMI
2011-01-01,16.27,-20.36,^SSMI
2010-01-01,20.43,-35.9,^SSMI
2009-01-01,31.87,49.06,^SSMI
2008-01-01,21.38,58.14,^SSMI
2007-01-01,13.52,21.36,^SSMI
2006-01-01,11.14,-3.05,^SSMI
2005-01-01,11.49,-39.59,^SSMI
2004-01-01,19.02,-35.72,^SSMI
2003-01-01,29.59,21.77,^SSMI
2002-01-01,24.3,43.53,^SSMI
2001-01-01,16.93,-7.49,^SSMI
2000-01-01,18.3,-29.99,^SSMI
1999-01-01,26.14,23.83,^SSMI
1998-01-01,21.11,45.59,^SSMI
1997-01-01,14.5,20.43,^SSMI
1996-01-01,12.04,-15.09,^SSMI
1995-01-01,14.18,-0.91,^SSMI
1994-01-01,14.31,9.49,^SSMI
1993-01-01,13.07,-16.65,^SSMI
1992-01-01,15.68,-26.25,^SSMI
1991-01-01,21.26,11.84,^SSMI
1990-01-01,19.01,13.76,^SSMI
1989-01-01,16.71,,^SSMI
