Date,Value,YOY (%),index
2020-01-01,21.52,83.93,^FTLC
2019-01-01,11.7,21.62,^FTLC
2018-01-01,9.62,-28.1,^FTLC
2017-01-01,13.38,-23.15,^FTLC
2016-01-01,17.41,38.17,^FTLC
2015-01-01,12.6,12.1,^FTLC
2014-01-01,11.24,-20.11,^FTLC
2013-01-01,14.07,-27.73,^FTLC
2012-01-01,19.47,10.0,^FTLC
2011-01-01,17.7,-22.3,^FTLC
2010-01-01,22.78,-32.24,^FTLC
2009-01-01,33.62,51.24,^FTLC
2008-01-01,22.23,65.4,^FTLC
2007-01-01,13.44,28.12,^FTLC
2006-01-01,10.49,13.77,^FTLC
2005-01-01,9.22,-38.7,^FTLC
2004-01-01,15.04,-39.57,^FTLC
2003-01-01,24.89,19.26,^FTLC
2002-01-01,20.87,20.36,^FTLC
2001-01-01,17.34,1.7,^FTLC
2000-01-01,17.05,-7.79,^FTLC
1999-01-01,18.49,31.13,^FTLC
1998-01-01,14.1,53.26,^FTLC
1997-01-01,9.2,10.44,^FTLC
1996-01-01,8.33,-20.89,^FTLC
1995-01-01,10.53,1.64,^FTLC
1994-01-01,10.36,-21.52,^FTLC
1993-01-01,13.2,2.25,^FTLC
1992-01-01,12.91,-4.65,^FTLC
1991-01-01,13.54,7.38,^FTLC
1990-01-01,12.61,-16.77,^FTLC
1989-01-01,15.15,-40.28,^FTLC
1988-01-01,25.37,65.71,^FTLC
1987-01-01,15.31,21.8,^FTLC
1986-01-01,12.57,,^FTLC
