Date,Value,YOY (%)
2022-01-01,8769741.00,0.76
2021-01-01,8703405.00,0.76
2020-01-01,8638167.00,0.73
2019-01-01,8575280.00,0.72
2018-01-01,8514329.00,0.74
2017-01-01,8451840.00,0.94
2016-01-01,8373338.00,1.10
2015-01-01,8282396.00,1.14
2014-01-01,8188649.00,1.23
2013-01-01,8089346.00,1.16
2012-01-01,7996861.00,1.07
2011-01-01,7912398.00,1.12
2010-01-01,7824909.00,1.05
2009-01-01,7743831.00,1.26
2008-01-01,7647675.00,1.28
2007-01-01,7551117.00,0.90
2006-01-01,7483934.00,0.63
2005-01-01,7437115.00,0.64
2004-01-01,7389625.00,0.69
2003-01-01,7339001.00,0.74
2002-01-01,7284753.00,0.76
2001-01-01,7229854.00,0.63
2000-01-01,7184250.00,0.56
1999-01-01,7143991.00,0.48
1998-01-01,7110001.00,0.30
1997-01-01,7088906.00,0.24
1996-01-01,7071850.00,0.44
1995-01-01,7040687.00,0.67
1994-01-01,6993795.00,0.80
1993-01-01,6938265.00,0.91
1992-01-01,6875364.00,1.11
1991-01-01,6799978.00,1.26
1990-01-01,6715519.00,1.03
1989-01-01,6646912.00,0.81
1988-01-01,6593386.00,0.74
1987-01-01,6545106.00,0.63
1986-01-01,6504124.00,0.52
1985-01-01,6470365.00,0.44
1984-01-01,6441865.00,0.36
1983-01-01,6418773.00,0.43
1982-01-01,6391309.00,0.59
1981-01-01,6354074.00,0.55
1980-01-01,6319408.00,0.40
1979-01-01,6294365.00,0.20
1978-01-01,6281738.00,0.01
1977-01-01,6281174.00,-0.34
1976-01-01,6302504.00,-0.57
1975-01-01,6338632.00,0.50
1974-01-01,6341405.00,0.54
1973-01-01,6307347.00,0.74
1972-01-01,6260956.00,0.77
1971-01-01,6213399.00,0.53
1970-01-01,6180877.00,0.73
1969-01-01,6136387.00,1.13
1968-01-01,6067714.00,1.27
1967-01-01,5991785.00,1.25
1966-01-01,5918002.00,1.05
1965-01-01,5856472.00,1.16
1964-01-01,5789228.00,1.67
1963-01-01,5694247.00,2.16
1962-01-01,5573815.00,2.57
1961-01-01,5434294.00,2.00
1960-01-01,5327827.00,
