Date,Value,YOY (%)
2022-01-01,66971411.00,-0.08
2021-01-01,67026300.00,-0.08
2020-01-01,67081234.00,0.37
2019-01-01,66836327.00,0.57
2018-01-01,66460344.00,0.61
2017-01-01,66058859.00,0.68
2016-01-01,65611593.00,0.76
2015-01-01,65116219.00,0.80
2014-01-01,64602298.00,0.74
2013-01-01,64128273.00,0.67
2012-01-01,63700215.00,0.70
2011-01-01,63258810.00,0.78
2010-01-01,62766365.00,0.79
2009-01-01,62276270.00,0.76
2008-01-01,61806995.00,0.79
2007-01-01,61322463.00,0.78
2006-01-01,60846820.00,0.74
2005-01-01,60401206.00,0.69
2004-01-01,59987905.00,0.57
2003-01-01,59647577.00,0.47
2002-01-01,59370479.00,0.42
2001-01-01,59119673.00,0.39
2000-01-01,58892514.00,0.36
1999-01-01,58682466.00,0.33
1998-01-01,58487141.00,0.29
1997-01-01,58316954.00,0.26
1996-01-01,58166950.00,0.25
1995-01-01,58019030.00,0.26
1994-01-01,57865745.00,0.25
1993-01-01,57718614.00,0.24
1992-01-01,57580402.00,0.27
1991-01-01,57424897.00,0.31
1990-01-01,57247586.00,0.30
1989-01-01,57076711.00,0.26
1988-01-01,56928327.00,0.22
1987-01-01,56802050.00,0.21
1986-01-01,56681396.00,0.23
1985-01-01,56550268.00,0.23
1984-01-01,56422072.00,0.16
1983-01-01,56332848.00,0.03
1982-01-01,56313641.00,-0.04
1981-01-01,56333829.00,0.03
1980-01-01,56314216.00,0.12
1979-01-01,56246951.00,0.09
1978-01-01,56196504.00,0.01
1977-01-01,56193492.00,-0.03
1976-01-01,56211968.00,-0.02
1975-01-01,56225800.00,0.06
1974-01-01,56229974.00,0.06
1973-01-01,56194527.00,0.19
1972-01-01,56086065.00,0.34
1971-01-01,55896223.00,0.42
1970-01-01,55663250.00,0.40
1969-01-01,55441750.00,0.42
1968-01-01,55211700.00,0.49
1967-01-01,54943600.00,0.54
1966-01-01,54648500.00,0.55
1965-01-01,54348050.00,0.64
1964-01-01,54000000.00,0.65
1963-01-01,53650000.00,0.75
1962-01-01,53250000.00,0.85
1961-01-01,52800000.00,0.76
1960-01-01,52400000.00,
