Date,Value,YOY (%)
2022-01-01,333287557.00,0.38
2021-01-01,332031554.00,0.16
2020-01-01,331511512.00,0.97
2019-01-01,328329953.00,0.46
2018-01-01,326838199.00,0.53
2017-01-01,325122128.00,0.63
2016-01-01,323071755.00,0.73
2015-01-01,320738994.00,0.74
2014-01-01,318386329.00,0.74
2013-01-01,316059947.00,0.70
2012-01-01,313877662.00,0.74
2011-01-01,311583481.00,0.73
2010-01-01,309327143.00,0.83
2009-01-01,306771529.00,0.88
2008-01-01,304093966.00,0.95
2007-01-01,301231207.00,0.96
2006-01-01,298379912.00,0.97
2005-01-01,295516599.00,0.93
2004-01-01,292805298.00,0.93
2003-01-01,290107933.00,0.86
2002-01-01,287625193.00,0.93
2001-01-01,284968955.00,0.99
2000-01-01,282162411.00,1.12
1999-01-01,279040000.00,1.15
1998-01-01,275854000.00,1.17
1997-01-01,272657000.00,1.21
1996-01-01,269394000.00,1.17
1995-01-01,266278000.00,1.20
1994-01-01,263126000.00,1.23
1993-01-01,259919000.00,1.33
1992-01-01,256514000.00,1.40
1991-01-01,252981000.00,1.35
1990-01-01,249623000.00,1.14
1989-01-01,246819000.00,0.95
1988-01-01,244499000.00,0.91
1987-01-01,242289000.00,0.90
1986-01-01,240133000.00,0.93
1985-01-01,237924000.00,0.89
1984-01-01,235825000.00,0.87
1983-01-01,233792000.00,0.92
1982-01-01,231664000.00,0.96
1981-01-01,229466000.00,0.99
1980-01-01,227225000.00,0.96
1979-01-01,225055000.00,1.11
1978-01-01,222585000.00,1.07
1977-01-01,220239000.00,1.01
1976-01-01,218035000.00,0.95
1975-01-01,215973000.00,1.92
1974-01-01,213854000.00,0.92
1973-01-01,211909000.00,0.96
1972-01-01,209896000.00,1.08
1971-01-01,207661000.00,1.27
1970-01-01,205052000.00,1.17
1969-01-01,202677000.00,0.98
1968-01-01,200706000.00,1.00
1967-01-01,198712000.00,1.09
1966-01-01,196560000.00,1.16
1965-01-01,194303000.00,1.26
1964-01-01,191889000.00,1.40
1963-01-01,189242000.00,1.45
1962-01-01,186538000.00,1.55
1961-01-01,183691000.00,1.67
1960-01-01,180671000.00,
