Date,Value,YOY (%)
2023-09-01,0.90,-7.22
2023-08-01,0.88,-8.33
2023-07-01,0.87,-10.31
2023-06-01,0.90,-7.22
2023-05-01,0.90,-8.16
2023-04-01,0.90,-5.26
2023-03-01,0.93,0.00
2023-02-01,0.93,1.09
2023-01-01,0.92,0.00
2022-12-01,0.93,1.09
2022-11-01,0.97,5.43
2022-10-01,0.99,7.61
2022-09-01,0.97,5.43
2022-08-01,0.96,5.49
2022-07-01,0.97,5.43
2022-06-01,0.97,6.59
2022-05-01,0.98,8.89
2022-04-01,0.95,3.26
2022-03-01,0.93,0.00
2022-02-01,0.92,2.22
2022-01-01,0.92,3.37
2021-12-01,0.92,3.37
2021-11-01,0.92,1.10
2021-10-01,0.92,1.10
2021-09-01,0.92,1.10
2021-08-01,0.91,0.00
2021-07-01,0.92,-1.08
2021-06-01,0.91,-4.21
2021-05-01,0.90,-7.22
2021-04-01,0.92,-5.15
2021-03-01,0.93,-3.12
2021-02-01,0.90,-8.16
2021-01-01,0.89,-8.25
2020-12-01,0.89,-9.18
2020-11-01,0.91,-8.08
2020-10-01,0.91,-8.08
2020-09-01,0.91,-8.08
2020-08-01,0.91,-7.14
2020-07-01,0.93,-6.06
2020-06-01,0.95,-4.04
2020-05-01,0.97,-3.96
2020-04-01,0.97,-3.96
2020-03-01,0.96,-4.00
2020-02-01,0.98,-2.00
2020-01-01,0.97,-2.02
2019-12-01,0.98,-1.01
2019-11-01,0.99,-1.00
2019-10-01,0.99,0.00
2019-09-01,0.99,2.06
2019-08-01,0.98,-1.01
2019-07-01,0.99,0.00
2019-06-01,0.99,0.00
2019-05-01,1.01,1.00
2019-04-01,1.01,4.12
2019-03-01,1.00,5.26
2019-02-01,1.00,6.38
2019-01-01,0.99,3.13
2018-12-01,0.99,0.00
2018-11-01,1.00,1.01
2018-10-01,0.99,1.02
2018-09-01,0.97,1.04
2018-08-01,0.99,2.06
2018-07-01,0.99,3.13
2018-06-01,0.99,2.06
2018-05-01,1.00,1.01
2018-04-01,0.97,-3.00
2018-03-01,0.95,-5.00
2018-02-01,0.94,-6.00
2018-01-01,0.96,-4.95
2017-12-01,0.99,-2.94
2017-11-01,0.99,-1.00
2017-10-01,0.98,-1.01
2017-09-01,0.96,-1.03
2017-08-01,0.97,0.00
2017-07-01,0.96,-2.04
2017-06-01,0.97,0.00
2017-05-01,0.99,1.02
2017-04-01,1.00,4.17
2017-03-01,1.00,2.04
2017-02-01,1.00,1.01
2017-01-01,1.01,0.00
2016-12-01,1.02,2.00
2016-11-01,1.00,-0.99
2016-10-01,0.99,2.06
2016-09-01,0.97,0.00
2016-08-01,0.97,0.00
2016-07-01,0.98,3.16
2016-06-01,0.97,4.30
2016-05-01,0.98,5.38
2016-04-01,0.96,0.00
2016-03-01,0.98,0.00
2016-02-01,0.99,5.32
2016-01-01,1.01,7.45
2015-12-01,1.00,2.04
2015-11-01,1.01,5.21
2015-10-01,0.97,2.11
2015-09-01,0.97,3.19
2015-08-01,0.97,6.59
2015-07-01,0.95,5.56
2015-06-01,0.93,3.33
2015-05-01,0.93,4.49
2015-04-01,0.96,9.09
2015-03-01,0.98,11.36
2015-02-01,0.94,5.62
2015-01-01,0.94,4.44
2014-12-01,0.98,10.11
2014-11-01,0.96,5.49
2014-10-01,0.95,5.56
2014-09-01,0.94,2.17
2014-08-01,0.91,-2.15
