Date,Value,YOY (%)
2022-01-01,2.99,-16.25
2021-01-01,3.57,-6.30
2020-01-01,3.81,21.34
2019-01-01,3.14,-7.10
2018-01-01,3.38,-9.87
2017-01-01,3.75,-8.98
2016-01-01,4.12,-10.82
2015-01-01,4.62,-7.23
2014-01-01,4.98,-4.78
2013-01-01,5.23,-2.79
2012-01-01,5.38,-7.56
2011-01-01,5.82,-16.50
2010-01-01,6.97,-9.95
2009-01-01,7.74,2.79
2008-01-01,7.53,-13.05
2007-01-01,8.66,-15.51
2006-01-01,10.25,-8.24
2005-01-01,11.17,4.10
2004-01-01,10.73,9.71
2003-01-01,9.78,15.33
2002-01-01,8.48,9.14
2001-01-01,7.77,-1.89
2000-01-01,7.92,-10.61
1999-01-01,8.86,-9.50
1998-01-01,9.79,-0.71
1997-01-01,9.86,11.66
1996-01-01,8.83,8.21
1995-01-01,8.16,-6.53
1994-01-01,8.73,13.67
1993-01-01,7.68,21.52
1992-01-01,6.32,18.80
1991-01-01,5.32,
