Date,Value,YOY (%)
2022-01-01,5.06,-2.13
2021-01-01,5.17,-11.32
2020-01-01,5.83,96.96
2019-01-01,2.96,-2.63
2018-01-01,3.04,-1.62
2017-01-01,3.09,-8.85
2016-01-01,3.39,2.11
2015-01-01,3.32,0.61
2014-01-01,3.30,-2.94
2013-01-01,3.40,3.34
2012-01-01,3.29,-3.80
2011-01-01,3.42,-20.65
2010-01-01,4.31,-18.06
2009-01-01,5.26,47.75
2008-01-01,3.56,-11.22
2007-01-01,4.01,-15.93
2006-01-01,4.77,-14.52
2005-01-01,5.58,-17.21
2004-01-01,6.74,-14.25
2003-01-01,7.86,7.97
2002-01-01,7.28,43.03
2001-01-01,5.09,3.46
2000-01-01,4.92,-21.28
1999-01-01,6.25,36.46
1998-01-01,4.58,106.31
1997-01-01,2.22,-21.55
1996-01-01,2.83,-12.11
1995-01-01,3.22,69.47
1994-01-01,1.90,-3.06
1993-01-01,1.96,0.00
1992-01-01,1.96,8.89
1991-01-01,1.80,
