Date,Value,YOY (%)
2022-01-01,2.64,-5.71
2021-01-01,2.80,0.00
2020-01-01,2.80,16.67
2019-01-01,2.40,0.00
2018-01-01,2.40,-14.29
2017-01-01,2.80,-9.68
2016-01-01,3.10,-8.82
2015-01-01,3.40,-5.56
2014-01-01,3.60,-10.00
2013-01-01,4.00,-6.98
2012-01-01,4.30,-4.87
2011-01-01,4.52,-11.37
2010-01-01,5.10,0.00
2009-01-01,5.10,27.50
2008-01-01,4.00,2.56
2007-01-01,3.90,-4.88
2006-01-01,4.10,-6.82
2005-01-01,4.40,-6.38
2004-01-01,4.70,-11.32
2003-01-01,5.30,-1.85
2002-01-01,5.40,8.00
2001-01-01,5.00,6.38
2000-01-01,4.70,0.00
1999-01-01,4.70,14.63
1998-01-01,4.10,20.59
1997-01-01,3.40,0.00
1996-01-01,3.40,6.25
1995-01-01,3.20,10.34
1994-01-01,2.90,16.00
1993-01-01,2.50,13.64
1992-01-01,2.20,4.76
1991-01-01,2.10,
