Date,Value,YOY (%)
2022-01-01,3.57,-26.09
2021-01-01,4.83,8.05
2020-01-01,4.47,19.52
2019-01-01,3.74,-6.50
2018-01-01,4.00,-7.62
2017-01-01,4.33,-9.98
2016-01-01,4.81,-9.25
2015-01-01,5.30,-13.26
2014-01-01,6.11,-18.75
2013-01-01,7.52,-4.69
2012-01-01,7.89,-1.87
2011-01-01,8.04,3.21
2010-01-01,7.79,3.32
2009-01-01,7.54,34.16
2008-01-01,5.62,6.84
2007-01-01,5.26,-1.68
2006-01-01,5.35,12.63
2005-01-01,4.75,3.49
2004-01-01,4.59,-4.57
2003-01-01,4.81,-4.56
2002-01-01,5.04,7.23
2001-01-01,4.70,-15.47
2000-01-01,5.56,-7.95
1999-01-01,6.04,-2.58
1998-01-01,6.20,-12.31
1997-01-01,7.07,-13.68
1996-01-01,8.19,-5.75
1995-01-01,8.69,-9.95
1994-01-01,9.65,-6.76
1993-01-01,10.35,5.83
1992-01-01,9.78,14.39
1991-01-01,8.55,
