Date,Value,YOY (%)
2023-08-01,6.24,-27.86
2023-07-01,6.44,-26.82
2023-06-01,7.39,-9.55
2023-05-01,7.85,0.13
2023-04-01,7.82,0.39
2023-03-01,8.84,42.58
2023-02-01,9.19,67.70
2023-01-01,8.90,83.51
2022-12-01,9.24,90.91
2022-11-01,9.38,104.80
2022-10-01,9.61,149.61
2022-09-01,8.81,200.68
2022-08-01,8.65,185.48
2022-07-01,8.80,337.81
2022-06-01,8.17,241.84
2022-05-01,7.84,254.75
2022-04-01,7.79,369.28
2022-03-01,6.20,513.86
2022-02-01,5.48,640.54
2022-01-01,4.85,427.17
2021-12-01,4.84,483.13
2021-11-01,4.58,732.73
2021-10-01,3.85,363.86
2021-09-01,2.93,295.95
2021-08-01,3.03,558.70
2021-07-01,2.01,81.08
2021-06-01,2.39,187.95
2021-05-01,2.21,240.00
2021-04-01,1.66,78.49
2021-03-01,1.01,-32.67
2021-02-01,0.74,-56.21
2021-01-01,0.92,-48.60
2020-12-01,0.83,-36.64
2020-11-01,0.55,-63.33
2020-10-01,0.83,-44.67
2020-09-01,0.74,-56.21
2020-08-01,0.46,-72.78
2020-07-01,1.11,-43.94
2020-06-01,0.83,-56.08
2020-05-01,0.65,-65.61
2020-04-01,0.93,-53.27
2020-03-01,1.50,-17.13
2020-02-01,1.69,-6.63
2020-01-01,1.79,-1.65
2019-12-01,1.31,-34.50
2019-11-01,1.50,-28.57
2019-10-01,1.50,-31.82
2019-09-01,1.69,-23.53
2019-08-01,1.69,-29.58
2019-07-01,1.98,-14.66
2019-06-01,1.89,-18.53
2019-05-01,1.89,-18.53
2019-04-01,1.99,-10.76
2019-03-01,1.81,-22.65
2019-02-01,1.81,-25.82
2019-01-01,1.82,-31.32
2018-12-01,2.00,-27.01
2018-11-01,2.10,-26.32
2018-10-01,2.20,-20.29
2018-09-01,2.21,-19.93
2018-08-01,2.40,-13.36
2018-07-01,2.32,-10.08
2018-06-01,2.32,-6.45
2018-05-01,2.32,-13.43
2018-04-01,2.23,-13.57
2018-03-01,2.34,2.18
2018-02-01,2.44,6.09
2018-01-01,2.65,39.47
2017-12-01,2.74,53.07
2017-11-01,2.85,90.00
2017-10-01,2.76,112.31
2017-09-01,2.76,112.31
2017-08-01,2.77,207.78
2017-07-01,2.58,186.67
2017-06-01,2.48,175.56
2017-05-01,2.68,282.86
2017-04-01,2.58,268.57
2017-03-01,2.29,186.25
2017-02-01,2.30,283.33
2017-01-01,1.90,167.61
2016-12-01,1.79,258.00
2016-11-01,1.50,275.00
2016-10-01,1.30,550.00
2016-09-01,1.30,550.00
2016-08-01,0.90,125.00
2016-07-01,0.90,125.00
2016-06-01,0.90,200.00
2016-05-01,0.70,40.00
2016-04-01,0.70,133.33
2016-03-01,0.80,166.67
2016-02-01,0.60,50.00
2016-01-01,0.71,39.22
2015-12-01,0.50,-29.58
2015-11-01,0.40,-63.96
2015-10-01,0.20,-84.85
2015-09-01,0.20,-84.85
2015-08-01,0.40,-73.68
2015-07-01,0.40,-75.46
2015-06-01,0.30,-83.70
2015-05-01,0.50,-65.03
2015-04-01,0.30,-81.60
2015-03-01,0.30,-80.39
2015-02-01,0.40,-75.61
2015-01-01,0.51,-70.86
2014-12-01,0.71,-63.59
2014-11-01,1.11,-40.32
2014-10-01,1.32,-36.23
2014-09-01,1.32,-44.77
2014-08-01,1.52,-36.40
2014-07-01,1.63,-32.08
2014-06-01,1.84,-26.69
2014-05-01,1.43,-40.42
2014-04-01,1.63,-25.57
2014-03-01,1.53,-39.29
2014-02-01,1.64,-32.23
2014-01-01,1.75,-27.98
2013-12-01,1.95,-19.42
2013-11-01,1.86,-23.46
2013-10-01,2.07,-14.81
2013-09-01,2.39,18.91
2013-08-01,2.39,2.14
2013-07-01,2.40,2.13
2013-06-01,2.51,11.56
2013-05-01,2.40,-6.61
2013-04-01,2.19,-21.51
2013-03-01,2.52,-16.56
2013-02-01,2.42,-22.93
2013-01-01,2.43,-23.10
2012-12-01,2.42,-32.78
2012-11-01,2.43,-41.87
2012-10-01,2.43,-43.49
2012-09-01,2.01,-55.73
2012-08-01,2.34,-39.53
2012-07-01,2.35,-39.59
2012-06-01,2.25,-38.52
2012-05-01,2.57,-31.83
2012-04-01,2.79,-26.19
2012-03-01,3.02,-15.64
2012-02-01,3.14,-15.36
2012-01-01,3.16,-6.51
2011-12-01,3.60,14.29
2011-11-01,4.18,60.77
2011-10-01,4.30,72.69
2011-09-01,4.54,90.76
2011-08-01,3.87,62.61
2011-07-01,3.89,71.37
2011-06-01,3.66,53.78
2011-05-01,3.77,50.80
2011-04-01,3.78,37.96
2011-03-01,3.58,48.55
2011-02-01,3.71,80.10
2011-01-01,3.38,33.07
2010-12-01,3.15,52.17
2010-11-01,2.60,74.50
2010-10-01,2.49,97.62
2010-09-01,2.38,161.54
2010-08-01,2.38,72.46
2010-07-01,2.27,40.12
2010-06-01,2.38,37.57
2010-05-01,2.50,19.62
2010-04-01,2.74,23.42
2010-03-01,2.41,-14.84
2010-02-01,2.06,-32.90
2010-01-01,2.54,-14.48
2009-12-01,2.07,-32.79
2009-11-01,1.49,-60.79
2009-10-01,1.26,-69.86
2009-09-01,0.91,-81.00
2009-08-01,1.38,-68.92
2009-07-01,1.62,-61.52
2009-06-01,1.73,-53.37
2009-05-01,2.09,-37.80
2009-04-01,2.22,-26.25
2009-03-01,2.83,11.42
2009-02-01,3.07,14.98
2009-01-01,2.97,21.72
2008-12-01,3.08,33.91
2008-11-01,3.80,64.50
2008-10-01,4.18,90.00
2008-09-01,4.79,145.64
2008-08-01,4.44,126.53
2008-07-01,4.21,114.80
2008-06-01,3.71,51.43
2008-05-01,3.36,36.59
2008-04-01,3.01,10.66
2008-03-01,2.54,-15.05
2008-02-01,2.67,-2.55
2008-01-01,2.44,-6.87
2007-12-01,2.30,-19.58
2007-11-01,2.31,-16.00
2007-10-01,2.20,-12.00
2007-09-01,1.95,-22.00
2007-08-01,1.96,-25.48
2007-07-01,1.96,-22.22
2007-06-01,2.45,-7.20
2007-05-01,2.46,2.93
2007-04-01,2.72,19.30
2007-03-01,2.99,47.29
2007-02-01,2.74,26.27
2007-01-01,2.62,20.74
2006-12-01,2.86,32.41
2006-11-01,2.75,26.73
2006-10-01,2.50,2.88
2006-09-01,2.50,-2.72
2006-08-01,2.63,13.85
2006-07-01,2.52,8.62
2006-06-01,2.64,36.79
2006-05-01,2.39,23.83
2006-04-01,2.28,18.13
2006-03-01,2.03,4.64
2006-02-01,2.17,29.17
2006-01-01,2.17,28.40
2005-12-01,2.16,28.57
2005-11-01,2.17,39.10
2005-10-01,2.43,86.92
2005-09-01,2.57,119.66
2005-08-01,2.31,61.54
2005-07-01,2.32,61.11
2005-06-01,1.93,23.72
2005-05-01,1.93,34.97
2005-04-01,1.93,85.58
2005-03-01,1.94,64.41
2005-02-01,1.68,15.86
2005-01-01,1.69,16.55
2004-12-01,1.68,28.24
2004-11-01,1.56,19.08
2004-10-01,1.30,-0.76
2004-09-01,1.17,-11.36
2004-08-01,1.43,8.33
2004-07-01,1.44,9.09
2004-06-01,1.56,31.09
2004-05-01,1.43,8.33
2004-04-01,1.04,-34.59
2004-03-01,1.18,-26.25
2004-02-01,1.45,-1.36
2004-01-01,1.45,-1.36
2003-12-01,1.31,-24.28
2003-11-01,1.31,-18.13
2003-10-01,1.31,-18.13
2003-09-01,1.32,-0.75
2003-08-01,1.32,-1.49
2003-07-01,1.32,-10.81
2003-06-01,1.19,11.21
2003-05-01,1.32,10.00
2003-04-01,1.59,-1.24
2003-03-01,1.60,-9.09
2003-02-01,1.47,-16.48
2003-01-01,1.47,-16.95
2002-12-01,1.73,28.15
2002-11-01,1.60,31.15
2002-10-01,1.60,7.38
2002-09-01,1.33,-18.40
2002-08-01,1.34,-34.63
2002-07-01,1.48,-9.76
2002-06-01,1.07,-43.68
2002-05-01,1.20,-36.84
2002-04-01,1.61,7.33
2002-03-01,1.76,43.09
2002-02-01,1.76,41.94
2002-01-01,1.77,42.74
2001-12-01,1.35,9.76
2001-11-01,1.22,-19.21
2001-10-01,1.49,8.76
2001-09-01,1.63,18.98
2001-08-01,2.05,113.54
2001-07-01,1.64,32.26
2001-06-01,1.90,53.23
2001-05-01,1.90,97.92
2001-04-01,1.50,56.25
2001-03-01,1.23,26.80
2001-02-01,1.24,-0.80
2001-01-01,1.24,11.71
2000-12-01,1.23,-19.61
2000-11-01,1.51,-1.31
2000-10-01,1.37,-10.46
2000-09-01,1.37,-10.46
2000-08-01,0.96,-42.86
2000-07-01,1.24,-26.63
2000-06-01,1.24,-31.87
2000-05-01,0.96,-47.25
2000-04-01,0.96,-51.27
2000-03-01,0.97,-54.25
2000-02-01,1.25,-32.07
2000-01-01,1.11,-44.22
1999-12-01,1.53,-16.85
1999-11-01,1.53,-10.00
1999-10-01,1.53,-1.92
1999-09-01,1.53,-10.00
1999-08-01,1.68,7.69
1999-07-01,1.69,-1.17
1999-06-01,1.82,-1.62
1999-05-01,1.82,-14.95
1999-04-01,1.97,-8.37
1999-03-01,2.12,4.95
1999-02-01,1.84,-2.13
1999-01-01,1.99,15.03
1998-12-01,1.84,-1.60
1998-11-01,1.70,-15.84
1998-10-01,1.56,-28.11
1998-09-01,1.70,-21.66
1998-08-01,1.56,-33.05
1998-07-01,1.71,-31.33
1998-06-01,1.85,-9.31
1998-05-01,2.14,4.90
1998-04-01,2.15,4.88
1998-03-01,2.02,-8.60
1998-02-01,1.88,-20.34
1998-01-01,1.73,-35.21
1997-12-01,1.87,-33.45
1997-11-01,2.02,-35.46
1997-10-01,2.17,-27.18
1997-09-01,2.17,-19.03
1997-08-01,2.33,-13.38
1997-07-01,2.49,-2.35
1997-06-01,2.04,-28.17
1997-05-01,2.04,-28.42
1997-04-01,2.05,-28.32
1997-03-01,2.21,-23.26
1997-02-01,2.36,-22.37
1997-01-01,2.67,-7.93
1996-12-01,2.81,-7.87
1996-11-01,3.13,7.56
1996-10-01,2.98,-2.93
1996-09-01,2.68,-12.70
1996-08-01,2.69,-2.54
1996-07-01,2.55,-13.27
1996-06-01,2.84,8.81
1996-05-01,2.85,15.85
1996-04-01,2.86,23.81
1996-03-01,2.88,16.13
1996-02-01,3.04,29.91
1996-01-01,2.90,23.93
1995-12-01,3.05,30.34
1995-11-01,2.91,32.88
1995-10-01,3.07,78.49
1995-09-01,3.07,63.30
1995-08-01,2.76,25.45
1995-07-01,2.94,43.41
1995-06-01,2.61,10.59
1995-05-01,2.46,4.24
1995-04-01,2.31,-2.53
1995-03-01,2.48,11.71
1995-02-01,2.34,-2.09
1995-01-01,2.34,-8.59
1994-12-01,2.34,4.46
1994-11-01,2.19,5.29
1994-10-01,1.72,-28.33
1994-09-01,1.88,-31.14
1994-08-01,2.20,-14.73
1994-07-01,2.05,-9.29
1994-06-01,2.36,4.89
1994-05-01,2.36,4.89
1994-04-01,2.37,-8.49
1994-03-01,2.22,-28.62
1994-02-01,2.39,-23.64
1994-01-01,2.56,-18.47
1993-12-01,2.24,-28.43
1993-11-01,2.08,-37.16
1993-10-01,2.40,-31.03
1993-09-01,2.73,-25.41
1993-08-01,2.58,-29.70
1993-07-01,2.26,-50.33
1993-06-01,2.25,-50.44
1993-05-01,2.25,-55.62
