Date,Value,YOY (%)
2020-01-01,24.91,81.03
2019-01-01,13.76,17.51
2018-01-01,11.71,-30.87
2017-01-01,16.94,-28.31
2016-01-01,23.63,28.21
2015-01-01,18.43,19.68
2014-01-01,15.40,-25.89
2013-01-01,20.78,-24.05
2012-01-01,27.36,16.62
2011-01-01,23.46,-15.58
2010-01-01,27.79,-26.75
2009-01-01,37.94,61.31
2008-01-01,23.52,55.35
2007-01-01,15.14,17.55
2006-01-01,12.88,0.70
2005-01-01,12.79,-40.65
2004-01-01,21.55,-38.53
2003-01-01,35.06,24.15
2002-01-01,28.24,21.31
2001-01-01,23.28,5.96
2000-01-01,21.97,-14.45
1999-01-01,25.68,13.73
1998-01-01,22.58,39.56
1997-01-01,16.18,0.81
1996-01-01,16.05,-9.53
1995-01-01,17.74,4.29
1994-01-01,17.01,-8.84
1993-01-01,18.66,0.16
1992-01-01,18.63,-14.70
1991-01-01,21.84,33.41
1990-01-01,16.37,-9.76
1989-01-01,18.14,-35.24
1988-01-01,28.01,
