Date,Value,YOY (%)
2020-01-01,19.16,17.11
2019-01-01,16.36,20.92
2018-01-01,13.53,-40.34
2017-01-01,22.68,-9.10
2016-01-01,24.95,36.79
2015-01-01,18.24,-18.24
2014-01-01,22.31,10.34
2013-01-01,20.22,2.17
2012-01-01,19.79,-4.63
2011-01-01,20.75,-18.63
2010-01-01,25.50,-33.32
2009-01-01,38.24,45.95
2008-01-01,26.20,42.47
2007-01-01,18.39,12.61
2006-01-01,16.33,4.61
2005-01-01,15.61,-21.24
2004-01-01,19.82,-8.75
2003-01-01,21.72,-7.65
2002-01-01,23.52,5.52
2001-01-01,22.29,3.00
2000-01-01,21.64,-2.08
1999-01-01,22.10,1.56
1998-01-01,21.76,43.44
1997-01-01,15.17,-4.11
1996-01-01,15.82,-6.72
1995-01-01,16.96,-9.21
1994-01-01,18.68,-15.28
1993-01-01,22.05,0.68
1992-01-01,21.90,-11.80
1991-01-01,24.83,47.36
1990-01-01,16.85,21.49
1989-01-01,13.87,-44.83
1988-01-01,25.14,37.98
1987-01-01,18.22,61.38
1986-01-01,11.29,4.63
1985-01-01,10.79,10.10
1984-01-01,9.80,-2.68
1983-01-01,10.07,-10.88
1982-01-01,11.30,46.56
1981-01-01,7.71,12.06
1980-01-01,6.88,1.78
1979-01-01,6.76,-14.21
1978-01-01,7.88,-2.60
1977-01-01,8.09,-21.38
1976-01-01,10.29,-26.08
1975-01-01,13.92,-10.42
1974-01-01,14.93,-3.93
1973-01-01,15.54,2.64
1972-01-01,15.14,4.56
1971-01-01,14.48,-1.76
1970-01-01,14.74,24.49
1969-01-01,11.84,20.08
1968-01-01,9.86,-1.69
1967-01-01,10.03,-21.09
1966-01-01,12.71,14.71
1965-01-01,11.08,-21.59
1964-01-01,14.13,-7.77
1963-01-01,15.32,-0.20
1962-01-01,15.35,5.57
1961-01-01,14.54,1.47
1960-01-01,14.33,
