Quarter,000001.SS,^BSESN,^BVSP,^FCHI,^FTLC,^GDAXI,^GSPC,^HSI,^N225,^SSMI
Q1 1998,0.0,0.007870018,0.008928571,0.0065556971428571,-0.016393443,0.0065556971428571,0,0.00129199,0.01698186,0.027210884
Q1 1999,0.0,0.005875441,0.264900662,0.081395349,0.016393443,0.081395349,0,0.0,0.057198341,0.079136691
Q1 2001,0.0,0.003861832,0.071428571,0.046728972,0.029411765,0.046728972,0,0.0,0.060855404,0.049079755
Q1 2002,0.0,0.012202689,-0.012605042,0.0,-0.014285714,0.0,0,0.0,-0.014395538,-0.011976048
Q1 2003,0.0,-0.011884904,0.005813953,-0.021276596,0.032258065,-0.021276596,0,0.0,0.009174312,0.0
Q1 2004,0.0,-0.034535856,0.021052632,0.050632911,0.018181818,0.050632911,0,0.003861004,0.013079891,0.048387097
Q1 2005,0.0,0.000458505,0.007434944,0.013157895,0.0,0.013157895,0,0.001283697,0.037255661,0.016949153
Q1 2006,-0.0037174721189592,0.014027149,-0.052863436,-0.012048193,0.0,-0.012048193,0,0.001290323,0.013768618,0.0
Q1 2007,-0.0064184852374838,-0.049536304,-0.023364486,-0.038961039,-0.019607843,-0.038961039,0,0.002564103,-0.012619344,-0.024193548
Q1 2008,-0.0234806629834254,0.017825312,-0.033898305,-0.058823529,0.0,-0.058823529,0,-0.001282051,-0.047672046,-0.081818182
Q1 2009,0.0,0.026078029,0.004329004,0.0,-0.014492754,0.0,0,-0.00128866,0.097647581,0.017699115
Q1 2010,0.0,-0.031597298,0.005617978,0.071428571,0.048387097,0.071428571,0,0.0,0.025795829,0.038834951
Q1 2011,-0.0060606060606061,-0.02379903,-0.005988024,-0.08,-0.031746032,-0.08,0,-0.001285347,0.006656178,-0.0625
Q1 2012,-0.0015822784810127,0.013529412,0.005586592,-0.025641026,-0.015625,-0.025641026,0,0.0,0.055743243,-0.031914894
Q1 2013,0.0,0.001659598,-0.024630542,0.026666667,0.031746032,0.026666667,0,0.001290323,0.097686953,0.02173913
Q1 2014,0.0198347107438017,-0.028336822,-0.025104603,-0.01369863,-0.016393443,-0.01369863,0,-0.00128866,-0.012528913,-0.022222222
Q1 2015,0.0032154340836012,0.008208595,0.19391635,0.069767442,0.015151515,0.069767442,0,0.0,0.010655391,0.021276596
Q1 2016,-0.0106544901065449,-0.013515521,-0.088669951,-0.043478261,0.0,-0.043478261,0,-0.002570694,-0.073416223,-0.04950495
Q1 2017,0.0,-0.051579721,-0.018808777,-0.010638298,-0.024691358,-0.010638298,0,0.00128866,-0.041612257,-0.00990099
Q1 2018,-0.0155763239875388,0.031736057,0.021806854,0.0,-0.013888889,0.0,0,0.003836317,-0.028952828,0.010416667
Q1 2019,-0.011782032400589,-0.018384953,0.026737968,0.011363636,-0.012820513,0.011363636,0,0.0,0.024596182,0.02020202
Q2 1998,0.0,0.073299748,0.00877193,0.0239075922857142,0.016666667,0.0239075922857142,0,0.0,0.068614801,0.0
Q2 1999,0.0,0.013084112,0.041176471,0.032258065,0.032258065,0.032258065,0,0.001290323,-0.003673708,0.033333333
Q2 2001,0.0,0.008335114,0.086757991,0.035714286,0.014285714,0.035714286,0,0.0,0.005898037,0.029239766
Q2 2002,0.0,-0.003064978,0.168103448,-0.10619469,-0.072463768,-0.10619469,0,0.0,-0.098417068,-0.109090909
Q2 2003,0.0,-0.024688753,-0.07073955,-0.043478261,-0.03125,-0.043478261,0,0.0,-0.01000834,-0.014492754
Q2 2004,0.0,0.049441786,0.075601375,-0.012048193,-0.035714286,-0.012048193,0,0.0,0.016997957,-0.038461538
Q2 2005,0.0,-0.004812099,-0.065891473,0.077922078,0.075471698,0.077922078,0,-0.002564103,0.044407128,0.075
Q2 2006,-0.0012484394506866,0.034582776,0.056338028,-0.036585366,-0.052631579,-0.036585366,0,0.00128866,-0.011104467,-0.03125
Q2 2007,-0.0116580310880828,-0.041646835,-0.049261084,-0.013513514,-0.02,-0.013513514,0,0.0,0.020852602,0.0
Q2 2008,-0.0142857142857142,0.068301226,-0.041420118,0.0,-0.019607843,0.0,0,0.001283697,0.040611609,0.01980198
Q2 2009,0.0,-0.032219332,-0.109090909,-0.065789474,-0.102941176,-0.065789474,0,0.0,-0.045996765,-0.060869565
Q2 2010,-0.0014641288433381,0.052205221,0.022727273,0.04,0.0,0.04,0,0.00257732,-0.063670412,-0.018691589
Q2 2011,-0.0091883614088821,0.002257336,0.006329114,0.014492754,0.016393443,0.014492754,0,0.002574003,-0.047367156,-0.088888889
Q2 2012,0.0095238095238097,0.07216096,0.108108108,0.065789474,0.015873016,0.065789474,0,0.0,-0.028553846,0.076923077
Q2 2013,-0.0096930533117932,0.100147275,0.085,-0.012987013,0.015384615,-0.012987013,0,0.0,0.019537643,0.0
Q2 2014,0.0016077170418007,-0.004142502,0.004484305,0.027777778,-0.016666667,0.027777778,0,0.0,-0.007027133,0.022727273
Q2 2015,0.0016129032258063,0.01532567,0.023026316,-0.010869565,-0.044776119,-0.010869565,0,0.0,0.031796502,-0.010416667
Q2 2016,0.0169753086419752,0.011141223,-0.039325843,0.034090909,0.085714286,0.034090909,0,0.0,-0.04892743,0.020833333
Q2 2017,-0.011611030478955,-0.001859312,0.050955414,-0.064516129,-0.025316456,-0.064516129,0,0.005148005,0.021164502,-0.04
Q2 2018,0.0269841269841268,0.045987513,0.105571848,0.048780488,0.070422535,0.048780488,0,0.0,0.035853613,0.020618557
Q2 2019,0.0267857142857144,-0.009652788,-0.01025641,0.0,0.038961039,0.0,0,-0.003826531,-0.030007166,-0.01980198
Q3 1998,0.0,-0.005163107,0.017241379,-0.0390714594285714,-0.032786885,-0.0390714594285714,0,0.0,-0.140208822,-0.112582781
Q3 1999,0.0,0.004381919,0.055555556,-0.03125,-0.0625,-0.03125,0,0.00128866,-0.111958435,-0.038709677
Q3 2001,0.0,0.018440017,0.085020243,-0.043103448,-0.028169014,-0.043103448,0,0.0,-0.024497992,-0.068181818
Q3 2002,0.0,-0.008198401,0.139455782,0.00990099,0.0,0.00990099,0,0.0,0.050975403,0.013605442
Q3 2003,0.0,-0.017741238,0.013888889,-0.034090909,-0.032258065,-0.034090909,0,-0.007692308,-0.077506318,-0.029411765
Q3 2004,0.0,-0.00694746,-0.049342105,-0.024390244,0.018518519,-0.024390244,0,-0.001282051,-0.00648461,-0.016
Q3 2005,-0.0170109356014581,0.030623993,-0.033755274,0.0,0.0,0.0,0,-0.002570694,0.026083073,0.0
Q3 2006,-0.0075093867334168,-0.021781324,-0.00913242,0.0,-0.018518519,0.0,0,0.001287001,0.024531398,0.016129032
Q3 2007,-0.007915567282322,-0.022349143,0.010638298,-0.04109589,0.0,-0.04109589,0,-0.008951407,-0.045630508,-0.033057851
Q3 2008,-0.0014619883040934,0.138641686,0.132075472,0.171875,0.18,0.171875,0,-0.005128205,-0.064389331,0.106796117
Q3 2009,0.0,-0.035359801,-0.056994819,-0.042253521,0.016393443,-0.042253521,0,0.0,-0.042386352,-0.055555556
Q3 2010,-0.0058997050147492,-0.051539778,-0.028248588,-0.076923077,-0.030769231,-0.076923077,0,-0.002570694,-0.065942857,-0.076190476
Q3 2011,-0.0108359133126935,0.108108108,0.121794872,0.042857143,0.016129032,0.042857143,0,-0.001283697,-0.032811711,0.097560976
Q3 2012,-0.0078492935635792,-0.041862144,0.0,-0.049382716,-0.03125,-0.049382716,0,-0.00128866,0.001013556,-0.051020408
Q3 2013,-0.0016313213703099,0.030957162,0.004444444,-0.039473684,-0.060606061,-0.039473684,0,-0.00128866,-0.019062908,-0.042553191
Q3 2014,-0.0096774193548387,0.021131448,0.054054054,0.067567568,0.050847458,0.067567568,0,0.001290323,0.061824258,0.055555556
Q3 2015,0.0257648953301128,0.022484277,0.207430341,-0.021978022,0.015625,-0.021978022,0,0.0,-0.026437434,0.021052632
Q3 2016,-0.0014970059880239,-0.006253722,-0.009146341,0.0,0.065789474,0.0,0,0.0,-0.002687398,0.010204082
Q3 2017,-0.0295420974889215,0.00962434,-0.021875,-0.022988506,-0.012987013,-0.022988506,0,0.0,0.004358655,0.020833333
Q3 2018,0.0208333333333334,0.070898238,0.07591623,0.011627907,0.013157895,0.011627907,0,-0.001273885,0.010760402,0.0
Q3 2019,0.0334302325581397,0.033022985,0.08994709,0.011235955,-0.0125,0.011235955,0,0.003841229,-0.001385169,0.0
Q4 1998,0.0,0.003774475,0.016806723,0.0039553135714285,0.033898305,0.0039553135714285,0,0.0,-0.064105741,0.037313433
Q4 1999,0.0,0.000918485,-0.065989848,0.064516129,0.016666667,0.064516129,0,0.001287001,-0.006322544,0.067114094
Q4 2001,0.0,0.006243496,-0.138686131,0.018018018,0.014492754,0.018018018,0,0.0,0.092466035,0.018292683
Q4 2002,0.0,-0.008886133,-0.044736842,-0.078431373,-0.03125,-0.078431373,0,0.0,-0.041158906,-0.073825503
Q4 2003,0.0,0.001321586,0.024475524,-0.070588235,-0.083333333,-0.070588235,0,0.003875969,-0.029497717,-0.060606061
Q4 2004,0.0,-0.046348929,-0.045614035,-0.05,-0.036363636,-0.05,0,0.0,-0.050009193,-0.040650407
Q4 2005,-0.0012360939431396,-0.012511171,0.013333333,0.0,0.0,0.0,0,-0.00128866,0.005310351,-0.007751938
Q4 2006,-0.010126582278481,-0.025352734,0.0,-0.025316456,-0.037735849,-0.025316456,0,0.002570694,0.015513026,-0.015873016
Q4 2007,-0.0173333333333333,-0.002540005,-0.005555556,-0.028571429,0.040816327,-0.028571429,0,0.006451613,-0.069474411,-0.05982906
Q4 2008,0.0014619883040936,0.001645413,0.100917431,0.013333333,0.169491525,0.013333333,0,0.0,-0.098529559,-0.00877193
Q4 2009,0.0,-0.016291533,0.005747126,0.029411765,0.0,0.029411765,0,0.001290323,0.008077902,0.009803922
