Quarter,000001.SS,^BSESN,^BVSP,^FCHI,^FTLC,^GDAXI,^GSPC,^HSI,^N225,^SSMI
Q1 1998,-0.0177759318571428,-0.0177759318571428,-0.0177759318571428,-0.023809412,0.025037753,-0.003891324,0.019678284,-0.142096642,-0.003717966,0.004367784
Q1 1999,0.0076952742857142,0.0076952742857142,0.0076952742857142,0.0,0.006983728,-0.000574263,0.021548647,0.023294634,-0.008552572,0.011166746
Q1 2001,0.00028551875,0.00028551875,0.0,0.011858635,-0.004324984,-0.000200115,0.022584589,-0.03762367,-0.010935993,0.020925688
Q1 2002,0.0074960574999999,0.0074960574999999,0.003379425,0.009173808,0.033057752,-0.00084087,0.027167919,-0.00044966,-0.013629666,0.002109752
Q1 2003,0.0039978535,0.0039978535,0.025905539,0.020066772,0.018152543,-0.0027366,0.026244386,-0.036354743,-0.016343533,-0.002951536
Q1 2004,0.032463073,0.032463073,0.033325219,0.03278747,0.00899564,-0.0048019,0.046932184,0.143448965,-0.016246302,0.015263308
Q1 2005,0.019914509125,0.019914509125,0.019947955,0.031008901,-0.020580579,-0.000885072,0.052492594,0.078369827,-0.012494332,0.011456779
Q1 2006,0.001097286,0.0104531481111111,0.026813926,0.022522396,0.007177928,-0.01045836,0.019660536,0.015162271,-0.008100948,0.020203298
Q1 2007,0.003831394,0.0112657576666666,0.040844782,0.007194466,0.014161687,-0.005149331,-0.005992501,0.035013004,-0.002298996,0.013787314
Q1 2008,0.007992274,0.0144414877777777,0.052779879,-0.005848408,-0.027190109,0.021582734,-0.034695221,0.104209397,-0.002316035,0.013458879
Q1 2009,-0.011620526,0.0,0.057469105,-0.037297948,-0.051102814,-0.002982107,-0.03672359,0.000308803,-0.019234058,0.00349515
Q1 2010,0.031578747,0.04130101,0.058906983,0.007291889,0.003421179,-0.00804829,-0.008591066,0.059443581,0.013568063,0.020628828
Q1 2011,0.01622822,0.072435109,0.045268492,0.005854118,-0.017997636,0.004950495,-0.010467034,0.079072085,0.001995178,0.028593609
Q1 2012,-0.005197861,0.06852573,0.026312045,-0.013169739,-0.010249814,0.00872093,0.024436257,0.017389676,0.007054501,0.024891816
Q1 2013,0.018697585,0.024204308,0.022576516,-0.012488642,-0.00676421,0.00750469,0.049350451,0.051357841,0.006748428,0.018642021
Q1 2014,0.010839358,0.044560519,0.020252407,-0.011707263,0.012958642,0.007332722,0.023147625,-0.003807075,0.009518081,0.003974846
Q1 2015,-0.012271462,0.050000047,0.000381605,-0.008972785,-0.002984557,0.016858917,0.021080013,0.054191666,0.027405868,0.009935275
Q1 2016,0.024723866,-0.011727361,-0.007471791,-0.004990739,0.011214675,0.020117351,0.019301382,-0.064493909,0.024000891,0.011880445
Q1 2017,0.011941526,0.007505447,-0.005239442,0.006875456,0.002661472,0.004640371,0.022450462,0.028854311,0.037765579,0.002014044
Q1 2018,0.005833168,0.00283471,0.001497647,0.002851935,-0.001694621,0.008733624,0.024339807,0.046738503,0.03494773,-0.000688221
Q1 2019,0.009520643,-0.011524628,0.008136359,0.0,-0.011589608,0.0,0.014630953,0.001629138,0.032894076,0.009889033
Q2 1998,-0.0007869964285714,-0.0007869964285714,-0.0007869964285714,0.024390127,0.053436368,0.001154472,0.033945946,-0.10644436,-0.004947114,-0.007044414
Q2 1999,0.0134379329999999,0.0134379329999999,0.0134379329999999,0.023255707,0.04160717,0.001104451,0.038243777,-0.000974647,-0.008260855,-0.000910072
Q2 2001,0.011371441375,0.011371441375,0.00219965,0.031249817,0.035830268,-0.000198183,0.034712031,0.002468561,-0.011683642,-0.003606971
Q2 2002,0.0154763925,0.0154763925,0.006635495,0.034545751,0.082000073,-0.000832656,0.048825988,-0.022133204,-0.013741608,-0.011488699
Q2 2003,0.0126647177499999,0.0126647177499999,0.033730528,0.037703475,0.030794159,-0.003573654,0.041289014,-0.046227493,-0.016523459,0.024125172
Q2 2004,0.028758098625,0.028758098625,0.028521071,0.040403822,0.058693107,0.002123153,0.05730844,0.048914013,-0.014864001,0.008965184
Q2 2005,0.0,0.0210658041111111,0.019630195,0.042605651,0.029039871,-0.005209408,0.057857767,0.051538795,-0.011281177,0.005410543
Q2 2006,0.019729505,0.0194489778888888,0.030769703,0.030836835,0.038004504,0.01565762,0.010172422,0.018943542,-0.005415169,0.016341839
Q2 2007,0.025329478,0.0190633406666666,0.043808453,0.017346596,0.0386681,-0.001035197,-0.006591874,0.038315182,-0.001375483,0.017104811
Q2 2008,0.010783309,0.0082037473333333,0.054496607,0.003921549,-0.00621195,0.009054326,-0.013049123,0.006931487,-0.006498792,0.014406313
Q2 2009,0.007944021,0.049998982,0.059183322,-0.013613274,0.013463738,-0.012961117,0.028898065,0.083616548,-0.015121719,-0.005502063
Q2 2010,0.023031929,0.058227016,0.055876934,0.019648549,0.018181707,0.012170385,0.027639853,0.040008917,0.001673555,0.008267755
Q2 2011,0.007434844,0.088180059,0.041480756,0.019398544,0.008017956,0.003940887,0.033058032,0.060715467,-0.004646477,0.015110843
Q2 2012,-0.005224056,0.063385373,0.024280752,0.0,0.018411853,0.012487992,0.061951201,0.091759477,-0.010674223,0.011954026
Q2 2013,0.028069989,0.009327947,0.021773432,-0.000972515,0.020431841,0.011173184,0.069788189,0.015581012,0.011058055,0.007010979
Q2 2014,0.00049875,0.041551002,0.014710369,0.001974817,0.036247719,0.020018198,0.036906985,0.013647862,-0.00455131,0.012336391
Q2 2015,-0.00211471,0.015087071,-0.003375917,0.00100578,0.020958006,0.020942408,0.038110536,0.034463146,-0.00317503,-0.004048713
Q2 2016,0.020615386,0.054702953,-0.007490929,0.005015772,0.021257374,0.028759244,0.036335736,0.001699023,0.009999475,-0.009982792
Q2 2017,0.019666575,0.038004598,-0.003722157,0.009756539,0.022124016,0.020015396,0.037441297,0.058418725,-0.00842095,0.013545728
Q2 2018,0.01449676,0.024590601,0.002875319,0.008530527,0.011035254,0.019480519,0.032118685,0.053619066,-0.004739534,0.01587234
Q2 2019,0.012665537,0.02279495,0.010886494,0.011049668,0.007537876,0.025342466,0.027032938,0.069214941,-0.008395654,0.005207494
Q3 1998,-0.0116035341428571,-0.0116035341428571,-0.0116035341428571,0.023809412,0.043478887,-0.001444899,0.02001264,-0.169337793,-0.005027608,0.007284622
Q3 1999,0.0134026912857142,0.0134026912857142,0.0134026912857142,0.045454342,0.058588739,0.001226365,0.025622134,-0.026041989,-0.008422135,-0.002608617
Q3 2001,0.005279070625,0.005279070625,0.002096964,0.028409402,0.035640548,-0.000921094,0.021267392,-0.031608976,-0.011953391,-0.00069828
Q3 2002,0.011127956875,0.011127956875,0.011215977,0.040422036,0.067466831,-0.002610171,0.031095453,-0.048961241,-0.014088752,0.004483522
Q3 2003,0.0151389466249999,0.0151389466249999,0.037946668,0.042654238,0.027515033,-0.004588913,0.035653969,-0.008913258,-0.016987395,0.007831231
Q3 2004,0.020453270625,0.020453270625,0.024501566,0.048543783,0.044210587,-0.00330225,0.038400722,0.007772168,-0.015088274,0.018587863
Q3 2005,0.015777507,0.0153248781111111,0.020844372,0.046875075,0.024540012,-0.001558108,0.03916519,-0.011988589,-0.011536559,0.015805003
Q3 2006,0.016481444,0.0129220527777777,0.034629583,0.030982474,0.030892191,0.008221994,-0.002671405,-0.005362455,-0.005504432,0.008629081
Q3 2007,0.027072597,0.0155832846666666,0.046908718,0.023069348,0.027921176,0.006217617,-0.022088795,0.037566543,-0.001391775,-0.005025867
Q3 2008,0.00470659,-0.0047629643333333,0.055313447,0.001953603,-0.039582996,-0.003988036,-0.044278448,-0.021179914,-0.006542275,0.01073135
Q3 2009,0.021437437,0.042858251,0.060555745,0.015923756,0.038647103,0.0,-0.008090949,0.085990664,0.01467125,0.000908493
Q3 2010,0.003704737,0.059448175,0.052362933,0.027382456,0.014509403,0.008016032,-0.030960151,0.052356582,0.00601353,0.0169608
Q3 2011,0.001913078,0.0293101,0.036367502,0.020932816,0.011363694,0.011776251,-0.024903837,-0.00305039,0.006335584,0.020216813
