Quarter,000001.SS,^BSESN,^BVSP,^FCHI,^FTLC,^GDAXI,^GSPC,^HSI,^N225,^SSMI
Q1 1998,1.0,0.0,1.0,0.0,0.5,0.75,0.0,0.0,1.0,0.0
Q1 1999,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.75
Q1 2001,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.75,1.0
Q1 2002,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
Q1 2003,0.0,0.25,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0
Q1 2004,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0
Q1 2005,0.75,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Q1 2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q1 2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q1 2008,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0
Q1 2009,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q1 2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q1 2011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
Q1 2012,1.0,1.0,0.5,1.0,0.0,1.0,0.25,0.25,1.0,1.0
Q1 2013,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.25
Q1 2014,1.0,0.0,0.75,1.0,0.0,1.0,0.5,0.5,1.0,0.0
Q1 2015,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0
Q1 2016,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Q1 2017,1.0,0.0,0.0,0.0,1.0,0.0,0.75,0.75,0.0,1.0
Q1 2018,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Q1 2019,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Q2 1998,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5
Q2 1999,1.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.5,0.0
Q2 2001,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0
Q2 2002,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Q2 2003,0.0,0.0,1.0,0.75,0.0,1.0,0.0,0.0,0.0,0.5
Q2 2004,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Q2 2005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q2 2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q2 2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q2 2008,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.75
Q2 2009,0.0,0.0,0.25,0.75,0.75,0.75,0.5,0.5,0.25,0.25
Q2 2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q2 2011,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Q2 2012,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Q2 2013,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Q2 2014,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Q2 2015,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0
Q2 2016,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Q2 2017,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
Q2 2018,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5
Q2 2019,1.0,1.0,0.0,0.75,1.0,1.0,0.0,0.0,1.0,1.0
Q3 1998,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Q3 1999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q3 2001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q3 2002,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0
Q3 2003,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Q3 2004,1.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Q3 2005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q3 2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q3 2007,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
