crash_start,crash_end,duration,drawdown
2015-08-20,2015-08-27,7,-0.23655894062044105
2008-06-03,2008-06-16,13,-0.17176238177495257
2015-07-01,2015-07-06,5,-0.1456218111889607
2015-06-25,2015-06-30,5,-0.1407135595576396
2008-09-26,2008-10-13,17,-0.1294494003888524
2008-10-21,2008-10-28,7,-0.1279812668323333
2008-01-21,2008-01-23,2,-0.12631425101614416
2008-03-12,2008-03-19,7,-0.12210486410842174
2001-07-23,2001-08-01,9,-0.11955056885480411
1998-08-14,1998-08-18,4,-0.11452657682226906
2007-01-30,2007-02-06,7,-0.11353652601365159
2015-07-24,2015-07-29,5,-0.11322311953043818
2008-08-08,2008-08-15,7,-0.11148357658676898
