crash_start,crash_end,duration,drawdown
2008-10-22,2008-10-29,7,-0.2137513637920111
2008-11-11,2008-11-21,10,-0.2119121943444335
2008-10-03,2008-10-13,10,-0.2018007083834102
2008-01-14,2008-01-23,9,-0.19767945422690153
2000-04-12,2000-04-25,13,-0.18988841858654307
2004-05-14,2004-05-18,4,-0.17639703541160276
2001-09-05,2001-09-18,13,-0.17054453959386726
2000-07-13,2000-07-25,12,-0.1589780307442728
2006-05-18,2006-05-23,5,-0.15239878458517678
2008-10-15,2008-10-20,5,-0.1395165161364115
2001-03-09,2001-03-14,5,-0.13299726021332148
2009-01-07,2009-01-14,7,-0.1319062459731699
1998-07-17,1998-07-28,11,-0.11628445660317449
