crash_start,crash_end,duration,drawdown
1999-01-07,1999-01-15,8,-0.3270060396893874
1998-09-02,1998-09-11,9,-0.3168258633357825
2008-10-02,2008-10-13,11,-0.3074872683931087
2008-10-21,2008-10-28,7,-0.25628153574264273
1998-08-19,1998-08-28,9,-0.23718098805900256
2001-08-30,2001-09-17,18,-0.23603785293205087
1998-07-31,1998-08-13,13,-0.23554683851685812
1998-12-08,1998-12-15,7,-0.17852929610696028
1998-11-30,1998-12-07,7,-0.16996871741397288
2000-04-10,2000-04-17,7,-0.16206876005481738
1998-10-23,1998-10-30,7,-0.14645214521452146
1998-01-06,1998-01-12,6,-0.1461953853706431
1998-06-09,1998-06-16,7,-0.14136933461909354
2008-10-15,2008-10-20,5,-0.14036326120598377
