crash_start,crash_end,duration,drawdown
2020-03-05,2020-03-13,8,-0.23068769047303564
1987-10-14,1987-10-21,7,-0.22645191744052034
1987-10-22,1987-10-27,5,-0.15098587930880106
2008-10-08,2008-10-13,5,-0.14632538040476828
2011-07-29,2011-08-09,11,-0.14013851807796587
2002-07-08,2002-07-16,8,-0.12904215507005806
2008-10-15,2008-10-17,2,-0.12832010583381737
2002-07-19,2002-07-25,6,-0.12031041010265499
2003-01-13,2003-01-28,15,-0.11763498654402314
2001-09-05,2001-09-12,7,-0.11424116213506928
2009-01-07,2009-01-16,9,-0.11327918900283665
2008-11-19,2008-11-24,5,-0.10350218305096712
