crash_start,crash_end,duration,drawdown
2020-03-05,2020-03-13,8,-0.24835748471167593
2011-07-27,2011-08-11,15,-0.2393639635778503
2008-10-06,2008-10-13,7,-0.23254454346012488
2001-09-05,2001-09-12,7,-0.18513381286279554
2008-01-15,2008-01-24,9,-0.1708624307286564
2002-09-12,2002-09-20,8,-0.16868552894624564
1989-10-11,1989-10-17,6,-0.1600506748434451
1998-09-29,1998-10-06,7,-0.15359116766842054
2002-07-19,2002-07-24,5,-0.15029238812280676
2002-07-31,2002-08-06,6,-0.14764037439726763
1990-09-13,1990-09-26,13,-0.14637058405478845
2020-02-20,2020-03-03,12,-0.14132976308639492
2009-01-07,2009-01-16,9,-0.13966263048066252
2003-03-04,2003-03-13,9,-0.13861886396610615
2015-08-14,2015-08-25,11,-0.12436803163506666
1990-08-17,1990-08-24,7,-0.12354201716589883
2008-10-15,2008-10-17,2,-0.11855692364616179
2002-10-03,2002-10-10,7,-0.11689478609253254
1998-08-26,1998-09-01,6,-0.11352765381181909
2008-10-21,2008-10-27,6,-0.11272859686694008
2001-09-18,2001-09-24,6,-0.10663547297403474
2011-11-14,2011-11-25,11,-0.10508234221817313
2008-11-19,2008-11-24,5,-0.10382423762859452
