crash_start,crash_end,duration,drawdown
1987-10-14,1987-10-20,6,-0.29381118975158116
1929-10-28,1929-10-30,2,-0.2502199028728412
1932-03-31,1932-04-14,14,-0.24076604183603573
2008-10-01,2008-10-13,12,-0.2300828563269944
1933-07-19,1933-07-24,5,-0.21982759542045607
1932-09-08,1932-09-15,7,-0.2185061824567096
1937-10-07,1937-10-19,12,-0.18376719306420294
1929-11-08,1929-11-14,6,-0.17516529454037222
1940-05-10,1940-05-15,5,-0.15646259496398338
1929-11-04,1929-11-07,3,-0.15472024204655183
1938-03-25,1938-04-01,7,-0.14866313225799674
1932-05-27,1932-06-02,6,-0.1469979398265063
2020-03-11,2020-03-13,2,-0.14649195115513008
1932-10-07,1932-10-11,4,-0.1438746089442832
1937-11-12,1937-11-23,11,-0.1435768312388798
1931-12-08,1931-12-15,7,-0.14190683680835883
1962-05-16,1962-05-29,13,-0.1367667865978585
2020-03-16,2020-03-17,1,-0.13615777542495142
1940-05-17,1940-05-22,5,-0.1346732889045694
1931-09-28,1931-10-02,4,-0.13238098507835752
2008-11-19,2008-11-21,2,-0.13226213198373638
2020-02-20,2020-03-02,11,-0.1280463929650605
2020-03-05,2020-03-10,5,-0.12684116286230857
1998-08-26,1998-09-01,6,-0.1250426157922304
1987-10-22,1987-10-27,5,-0.12370596863592019
2002-07-18,2002-07-24,6,-0.12289573723892976
1933-03-17,1933-03-23,6,-0.1221719349620019
2001-09-17,2001-09-24,7,-0.12200973159268046
1932-09-29,1932-10-06,7,-0.11975305487771423
2011-08-04,2011-08-09,5,-0.11739316138901001
1974-09-23,1974-10-04,11,-0.113223866575492
2015-08-18,2015-08-26,8,-0.1119880418918
1931-05-11,1931-05-21,10,-0.11125738163717946
2009-02-13,2009-02-24,11,-0.11109765174396859
1935-04-16,1935-04-17,1,-0.11070557394775327
1933-06-13,1933-06-16,3,-0.1087985435579253
1931-09-18,1931-09-23,5,-0.10820242294856625
2000-04-10,2000-04-17,7,-0.10621081394058161
2008-11-05,2008-11-07,2,-0.10587024470691697
1946-08-30,1946-09-04,5,-0.10570572187419632
1933-10-13,1933-10-17,4,-0.10456849675954066
2022-06-08,2022-06-15,7,-0.10330999868669206
1932-06-07,1932-06-10,3,-0.10309278553230808
1937-11-01,1937-11-09,8,-0.1018212337482606
1932-04-28,1932-05-04,6,-0.10116088097678388
2009-02-25,2009-03-04,7,-0.10041834894361865
1931-10-05,1931-10-06,1,-0.0997732590577438
1933-10-18,1933-10-20,2,-0.09922829134362306
1974-08-08,1974-08-20,12,-0.09905604831781531
1932-03-09,1932-03-17,8,-0.09875140114884734
1974-11-12,1974-11-21,9,-0.09841183901448974
1997-10-22,1997-10-28,6,-0.09839031897422065
2008-12-01,2008-12-02,1,-0.09805070521959337
1930-12-10,1930-12-17,7,-0.09790209832606811
1938-01-21,1938-01-31,10,-0.09702794557620563
1931-11-10,1931-11-17,7,-0.0966312214885825
2008-09-29,2008-09-30,1,-0.09657270416480164
