crash_start,crash_end,duration,drawdown
2008-10-06,2008-10-13,7,-0.2372915312003613
2011-07-22,2011-08-09,18,-0.17806403471499693
2015-01-14,2015-01-19,5,-0.15068600483047115
2002-07-18,2002-07-25,7,-0.13125303815327705
2003-03-04,2003-03-13,9,-0.12649537641343303
2001-09-18,2001-09-24,6,-0.12091723818009417
2008-10-21,2008-10-28,7,-0.1156773640510637
2008-01-15,2008-01-22,7,-0.11365834837008215
2001-09-05,2001-09-13,8,-0.11132281143938041
2002-09-12,2002-09-20,8,-0.10243130321635988
2015-08-18,2015-08-25,7,-0.09821074543496872
2008-11-19,2008-11-24,5,-0.0962263358753323
