crash_start,crash_end,duration,drawdown,index
2015-08-20,2015-08-27,7,-0.23655894062044105,000001.SS
2008-06-03,2008-06-16,13,-0.17176238177495257,000001.SS
2015-07-01,2015-07-06,5,-0.1456218111889607,000001.SS
2015-06-25,2015-06-30,5,-0.1407135595576396,000001.SS
2008-09-26,2008-10-13,17,-0.1294494003888524,000001.SS
2008-10-21,2008-10-28,7,-0.1279812668323333,000001.SS
2008-01-21,2008-01-23,2,-0.12631425101614416,000001.SS
2008-03-12,2008-03-19,7,-0.12210486410842174,000001.SS
2001-07-23,2001-08-01,9,-0.11955056885480411,000001.SS
2007-01-30,2007-02-06,7,-0.11353652601365159,000001.SS
2015-07-24,2015-07-29,5,-0.11322311953043818,000001.SS
2008-08-08,2008-08-15,7,-0.11148357658676898,000001.SS
2008-10-22,2008-10-29,7,-0.2137513637920111,^BSESN
2008-11-11,2008-11-21,10,-0.2119121943444335,^BSESN
2008-10-03,2008-10-13,10,-0.2018007083834102,^BSESN
2008-01-14,2008-01-23,9,-0.19767945422690153,^BSESN
2004-05-14,2004-05-18,4,-0.17639703541160276,^BSESN
2001-09-05,2001-09-18,13,-0.17054453959386726,^BSESN
2006-05-18,2006-05-23,5,-0.15239878458517678,^BSESN
2008-10-15,2008-10-20,5,-0.1395165161364115,^BSESN
2001-03-09,2001-03-14,5,-0.13299726021332148,^BSESN
2009-01-07,2009-01-14,7,-0.1319062459731699,^BSESN
2008-02-06,2008-02-13,7,-0.11329703117733786,^BSESN
2008-10-02,2008-10-13,11,-0.3074872683931087,^BVSP
2008-10-21,2008-10-28,7,-0.25628153574264273,^BVSP
2001-08-30,2001-09-17,18,-0.23603785293205087,^BVSP
2008-10-15,2008-10-20,5,-0.14036326120598377,^BVSP
2007-08-09,2007-08-17,8,-0.13522112631244035,^BVSP
2008-11-14,2008-11-24,10,-0.13249881248428289,^BVSP
2002-06-18,2002-06-24,6,-0.13019203113103797,^BVSP
2004-05-06,2004-05-11,5,-0.12621156852527357,^BVSP
2012-05-08,2012-05-18,10,-0.11897622794665783,^BVSP
2008-09-26,2008-09-30,4,-0.11421144871315204,^BVSP
2002-08-09,2002-08-16,7,-0.11345884237933106,^BVSP
2010-05-13,2010-05-21,8,-0.10853861826264123,^BVSP
2002-09-12,2002-09-25,13,-0.20180204550532788,^FCHI
2011-07-25,2011-08-09,15,-0.1881761501607928,^FCHI
2008-10-08,2008-10-13,5,-0.1589212121457537,^FCHI
2002-07-19,2002-07-25,6,-0.14741700273545846,^FCHI
2001-09-05,2001-09-12,7,-0.13435894368577808,^FCHI
2003-03-04,2003-03-13,9,-0.13421685927090593,^FCHI
2008-10-15,2008-10-17,2,-0.13236046887026032,^FCHI
2008-01-15,2008-01-22,7,-0.1255155561180504,^FCHI
2015-08-18,2015-08-25,7,-0.12096959862962031,^FCHI
2009-01-07,2009-01-16,9,-0.11964414506932758,^FCHI
2010-05-04,2010-05-10,6,-0.1181446480032336,^FCHI
2003-01-17,2003-01-28,11,-0.11345044418719155,^FCHI
2008-11-19,2008-11-24,5,-0.1088574736379207,^FCHI
2008-10-08,2008-10-13,5,-0.14632538040476828,^FTLC
2011-07-29,2011-08-09,11,-0.14013851807796587,^FTLC
2002-07-08,2002-07-16,8,-0.12904215507005806,^FTLC
2008-10-15,2008-10-17,2,-0.12832010583381748,^FTLC
2002-07-19,2002-07-25,6,-0.1203104101026551,^FTLC
2003-01-13,2003-01-28,15,-0.11763498654402314,^FTLC
2001-09-05,2001-09-12,7,-0.11424116213506928,^FTLC
2009-01-07,2009-01-16,9,-0.11327918900283665,^FTLC
2008-11-19,2008-11-24,5,-0.10350218305096712,^FTLC
2008-09-15,2008-09-19,4,-0.09938004427470064,^FTLC
2009-02-27,2009-03-04,5,-0.09883778453053942,^FTLC
2015-08-14,2015-08-25,11,-0.09804834937191977,^FTLC
2011-07-27,2011-08-11,15,-0.2393639635778503,^GDAXI
2008-10-06,2008-10-13,7,-0.23254454346012488,^GDAXI
2001-09-05,2001-09-12,7,-0.18513381286279554,^GDAXI
2008-01-15,2008-01-24,9,-0.1708624307286564,^GDAXI
2002-09-12,2002-09-20,8,-0.16868552894624564,^GDAXI
2002-07-19,2002-07-24,5,-0.15029238812280676,^GDAXI
2002-07-31,2002-08-06,6,-0.14764037439726763,^GDAXI
2009-01-07,2009-01-16,9,-0.13966263048066252,^GDAXI
2003-03-04,2003-03-13,9,-0.13861886396610615,^GDAXI
2015-08-14,2015-08-25,11,-0.12436803163506666,^GDAXI
2008-10-15,2008-10-17,2,-0.11855692364616179,^GDAXI
2002-10-03,2002-10-10,7,-0.11689478609253254,^GDAXI
2008-10-01,2008-10-13,12,-0.2300828563269944,^GSPC
2008-11-19,2008-11-21,2,-0.13226213198373638,^GSPC
2002-07-18,2002-07-24,6,-0.12289573723892976,^GSPC
2001-09-17,2001-09-24,7,-0.12200973159268046,^GSPC
2011-08-04,2011-08-09,5,-0.11739316138901001,^GSPC
2015-08-18,2015-08-26,8,-0.1119880418918,^GSPC
2009-02-13,2009-02-24,11,-0.11109765174396859,^GSPC
2008-11-05,2008-11-07,2,-0.1058702447069171,^GSPC
2009-02-25,2009-03-04,7,-0.10041834894361865,^GSPC
2008-12-01,2008-12-02,1,-0.09805070521959337,^GSPC
2008-09-29,2008-09-30,1,-0.09657270416480164,^GSPC
2008-10-14,2008-10-16,2,-0.09570039157512923,^GSPC
2008-10-21,2008-10-23,2,-0.09279094942661578,^GSPC
2008-10-21,2008-10-28,7,-0.2863587037608626,^HSI
2008-10-03,2008-10-09,6,-0.15718334868854084,^HSI
2008-09-09,2008-09-19,10,-0.1543014844090158,^HSI
2011-08-02,2011-08-10,8,-0.1486375009712723,^HSI
2008-01-21,2008-01-23,2,-0.14460131054239453,^HSI
2008-10-15,2008-10-20,5,-0.1424320662980606,^HSI
2009-01-06,2009-01-14,8,-0.12219984991567044,^HSI
2008-01-10,2008-01-17,7,-0.1162284287988983,^HSI
2015-08-14,2015-08-25,11,-0.11534438287357897,^HSI
2008-11-11,2008-11-14,3,-0.10848878854340299,^HSI
2015-07-03,2015-07-09,6,-0.1061137261907688,^HSI
2008-03-13,2008-03-18,5,-0.10484208000392348,^HSI
2008-10-02,2008-10-14,12,-0.2771758552481713,^N225
2008-10-22,2008-10-28,6,-0.24708087453138805,^N225
2011-03-10,2011-03-16,6,-0.19017417725452174,^N225
2015-08-18,2015-08-26,8,-0.13688314272413935,^N225
2008-10-16,2008-10-17,1,-0.128749298760843,^N225
2016-02-09,2016-02-15,6,-0.12754953391893908,^N225
2018-12-18,2018-12-26,8,-0.11134693847347775,^N225
2004-04-27,2004-05-11,14,-0.10620192692418175,^N225
2007-11-02,2007-11-14,12,-0.10557121657335092,^N225
2008-11-06,2008-11-10,4,-0.10543044287879391,^N225
2002-08-27,2002-09-05,9,-0.10019383789671343,^N225
2008-11-18,2008-11-21,3,-0.09840293929898272,^N225
2008-10-06,2008-10-13,7,-0.2372915312003613,^SSMI
2011-07-22,2011-08-09,18,-0.17806403471499693,^SSMI
2015-01-14,2015-01-19,5,-0.15068600483047115,^SSMI
