drawdown_start,drawdown_end,duration,drawdown,index
2015-08-20,2015-08-27,7,-0.23655894062044105,000001.SS
2008-06-03,2008-06-16,13,-0.17176238177495257,000001.SS
2015-07-01,2015-07-06,5,-0.1456218111889607,000001.SS
2015-06-25,2015-06-30,5,-0.1407135595576396,000001.SS
2008-09-26,2008-10-13,17,-0.1294494003888524,000001.SS
2008-10-21,2008-10-28,7,-0.1279812668323333,000001.SS
2008-01-21,2008-01-23,2,-0.12631425101614416,000001.SS
2008-03-12,2008-03-19,7,-0.12210486410842174,000001.SS
2001-07-23,2001-08-01,9,-0.11955056885480411,000001.SS
2007-01-30,2007-02-06,7,-0.11353652601365159,000001.SS
2015-07-24,2015-07-29,5,-0.11322311953043818,000001.SS
2008-08-08,2008-08-15,7,-0.11148357658676898,000001.SS
2007-06-01,2007-06-05,4,-0.10979286739965652,000001.SS
2018-02-06,2018-02-12,6,-0.10610587670415396,000001.SS
2008-02-20,2008-02-26,6,-0.10329736052710554,000001.SS
2016-01-26,2016-01-29,3,-0.1028640468062177,000001.SS
2015-06-18,2015-06-23,5,-0.10229838366949788,000001.SS
2009-08-27,2009-09-01,5,-0.10176838187953798,000001.SS
2001-10-15,2001-10-23,8,-0.10114332033154207,000001.SS
2008-12-22,2009-01-05,14,-0.09943778710094511,000001.SS
2013-06-19,2013-06-28,9,-0.09763635833481024,000001.SS
2007-02-27,2007-02-28,1,-0.09697993245285758,000001.SS
2019-04-25,2019-05-07,12,-0.09448346648361873,000001.SS
2008-09-16,2008-09-19,3,-0.0925363583643194,000001.SS
2009-08-14,2009-08-18,4,-0.08858964983245325,000001.SS
2008-06-26,2008-07-02,6,-0.08732668022774398,000001.SS
2015-05-05,2015-05-08,3,-0.08566531307681385,000001.SS
2002-01-17,2002-01-23,6,-0.08518940208277795,000001.SS
2010-06-23,2010-07-02,9,-0.08362517665451033,000001.SS
2015-01-19,2015-01-20,1,-0.08347712974988433,000001.SS
2007-11-08,2007-11-14,6,-0.08323886093727427,000001.SS
2005-06-28,2005-07-07,9,-0.08217206902828184,000001.SS
2008-10-14,2008-10-17,3,-0.08111107332529181,000001.SS
2015-12-31,2016-01-06,6,-0.08057371684964545,000001.SS
2003-04-18,2003-04-28,10,-0.07888393955502597,000001.SS
2002-12-25,2003-01-06,12,-0.0780568500730482,000001.SS
2008-01-28,2008-01-29,1,-0.07747709186258675,000001.SS
2009-02-17,2009-02-19,2,-0.07740007557552658,000001.SS
2008-04-16,2008-04-21,5,-0.07707046005938116,000001.SS
2002-01-11,2002-01-16,5,-0.07605143829149118,000001.SS
2015-01-27,2015-02-03,7,-0.0760169637892825,000001.SS
2013-05-30,2013-06-14,15,-0.07578996155264128,000001.SS
2016-01-07,2016-01-08,1,-0.07578815575740265,000001.SS
2007-07-04,2007-07-06,2,-0.07438149238193918,000001.SS
2008-03-31,2008-04-02,2,-0.07227314627601687,000001.SS
2015-07-07,2015-07-09,2,-0.07209852496059295,000001.SS
2002-05-08,2002-05-17,9,-0.07156277770443534,000001.SS
2015-05-28,2015-06-01,4,-0.07141790504533514,000001.SS
2004-06-02,2004-06-10,8,-0.07120749328544622,000001.SS
2007-06-22,2007-06-26,4,-0.07081658989892867,000001.SS
2007-11-01,2007-11-07,6,-0.07070952414605262,000001.SS
2007-10-17,2007-10-23,6,-0.07036205147212457,000001.SS
2008-06-19,2008-06-20,1,-0.06993444048646338,000001.SS
2008-07-15,2008-07-18,3,-0.06961023465080386,000001.SS
2007-05-30,2007-05-31,1,-0.0695361031158246,000001.SS
2013-12-10,2013-12-23,13,-0.0685615902728351,000001.SS
2016-02-25,2016-02-26,1,-0.06845461492286345,000001.SS
2001-02-05,2001-02-09,4,-0.06746307766210868,000001.SS
2008-11-18,2008-11-19,1,-0.06731124300251536,000001.SS
2001-11-02,2001-11-08,6,-0.06722672154336455,000001.SS
2002-01-25,2002-01-29,4,-0.066728329042954,000001.SS
2007-06-28,2007-07-02,4,-0.06588727453722358,000001.SS
2015-08-18,2015-08-19,1,-0.0654997759319667,000001.SS
2011-12-08,2011-12-16,8,-0.06517025198620593,000001.SS
2008-11-20,2008-11-26,6,-0.064906557531794,000001.SS
2009-08-05,2009-08-11,6,-0.06465854502625482,000001.SS
2008-01-15,2008-01-18,3,-0.06360914688860338,000001.SS
2001-10-10,2001-10-12,2,-0.06303403570426164,000001.SS
2019-07-31,2019-08-08,8,-0.06262899551523736,000001.SS
2015-09-14,2015-09-16,2,-0.06262420920547415,000001.SS
2010-05-06,2010-05-10,4,-0.061600797517764275,000001.SS
2008-12-11,2008-12-15,4,-0.06147715890336012,000001.SS
2009-11-26,2009-11-30,4,-0.06114835394542639,000001.SS
2008-09-05,2008-09-09,4,-0.06083690020162463,000001.SS
2010-11-16,2010-11-18,2,-0.06065083517009238,000001.SS
2018-08-01,2018-08-07,6,-0.06062731069691306,000001.SS
2008-03-26,2008-03-28,2,-0.06047536139593058,000001.SS
2011-08-05,2011-08-10,5,-0.06014605735041894,000001.SS
2008-04-14,2008-04-15,1,-0.059520916904765096,000001.SS
2010-12-22,2010-12-29,7,-0.059461762329063805,000001.SS
2007-11-21,2007-11-23,2,-0.059364907803201,000001.SS
2010-04-15,2010-04-21,6,-0.05897382236754766,000001.SS
2008-05-15,2008-05-21,6,-0.058908630874332873,000001.SS
2001-08-22,2001-08-28,6,-0.058641521243786486,000001.SS
2009-02-26,2009-03-02,4,-0.05832498143553816,000001.SS
2015-11-26,2015-11-30,4,-0.05821040464042539,000001.SS
2011-05-19,2011-05-31,12,-0.05819395252123422,000001.SS
2008-04-09,2008-04-10,1,-0.05818321386636391,000001.SS
2009-12-15,2009-12-21,6,-0.05772495882103651,000001.SS
2016-05-06,2016-05-10,4,-0.05688805115102545,000001.SS
2007-01-11,2007-01-15,4,-0.05684460696728496,000001.SS
2006-06-06,2006-06-08,2,-0.0566240894485075,000001.SS
2005-09-20,2005-09-26,6,-0.05661059993609669,000001.SS
2014-12-09,2014-12-10,1,-0.05650683937515985,000001.SS
2018-06-13,2018-06-20,7,-0.05639062985186723,000001.SS
2008-08-18,2008-08-19,1,-0.05635759966214065,000001.SS
2016-01-11,2016-01-12,1,-0.056256100067819,000001.SS
2010-05-14,2010-05-18,4,-0.05583867009880682,000001.SS
2004-04-07,2004-04-16,9,-0.05547312296168501,000001.SS
2018-10-11,2018-10-12,1,-0.05511175556925617,000001.SS
2015-06-15,2015-06-17,2,-0.05508954085298404,000001.SS
2010-01-22,2010-01-28,6,-0.05505873881050319,000001.SS
2010-04-22,2010-04-30,8,-0.0549581853518745,000001.SS
2011-11-16,2011-11-24,8,-0.054600430058832236,000001.SS
2018-05-23,2018-05-31,8,-0.05456261931265893,000001.SS
2010-11-12,2010-11-15,3,-0.054366896182655014,000001.SS
2005-01-25,2005-02-02,8,-0.05329623243924266,000001.SS
2001-09-20,2001-10-09,19,-0.05288219612569083,000001.SS
2009-07-29,2009-07-30,1,-0.05263823494568664,000001.SS
2005-06-10,2005-06-16,6,-0.05252790508817029,000001.SS
2002-01-04,2002-01-10,6,-0.05251478141295983,000001.SS
2012-06-19,2012-06-29,10,-0.05224671839810799,000001.SS
