DATE,QDEN628BIS
1970-01-01,37.6187
1970-04-01,39.315
1970-07-01,39.7142
1970-10-01,40.2131
1971-01-01,41.5103
1971-04-01,43.506
1971-07-01,44.1047
1971-10-01,44.2045
1972-01-01,45.1025
1972-04-01,46.2002
1972-07-01,46.6991
1972-10-01,46.9984
1973-01-01,47.6969
1973-04-01,49.8922
1973-07-01,50.3911
1973-10-01,50.3911
1974-01-01,51.4887
1974-04-01,53.5842
1974-07-01,54.0831
1974-10-01,53.7838
1975-01-01,53.988
1975-04-01,54.6445
1975-07-01,54.6865
1975-10-01,54.6143
1976-01-01,54.7118
1976-04-01,55.4874
1976-07-01,55.8761
1976-10-01,56.6529
1977-01-01,57.2547
1977-04-01,58.4467
1977-07-01,59.3291
1977-10-01,60.0702
1978-01-01,61.144
1978-04-01,62.5534
1978-07-01,63.8175
1978-10-01,64.7703
1979-01-01,66.0535
1979-04-01,68.4337
1979-07-01,69.821
1979-10-01,70.3591
1980-01-01,71.6589
1980-04-01,73.3817
1980-07-01,74.3549
1980-10-01,75.6989
1981-01-01,77.0321
1981-04-01,79.2917
1981-07-01,79.8995
1981-10-01,79.6541
1982-01-01,79.6662
1982-04-01,79.7649
1982-07-01,79.7468
1982-10-01,79.5383
1983-01-01,79.5845
1983-04-01,80.1391
1983-07-01,80.2682
1983-10-01,79.5199
1984-01-01,78.7766
1984-04-01,78.377
1984-07-01,77.9141
1984-10-01,77.6581
1985-01-01,77.4886
1985-04-01,77.2354
1985-07-01,77.3997
1985-10-01,77.395
1986-01-01,77.475
1986-04-01,77.8939
1986-07-01,77.7089
1986-10-01,77.2412
1987-01-01,76.8641
1987-04-01,76.8289
1987-07-01,76.7918
1987-10-01,77.0329
1988-01-01,77.2732
1988-04-01,78.0209
1988-07-01,78.5717
1988-10-01,78.8397
1989-01-01,79.3607
1989-04-01,80.0506
1989-07-01,81.1912
1989-10-01,82.4731
1990-01-01,84.6756
1990-04-01,86.9573
1990-07-01,88.1299
1990-10-01,88.4914
1991-01-01,89.3617
1991-04-01,91.0794
1991-07-01,91.8875
1991-10-01,92.731
1992-01-01,94.1656
1992-04-01,95.6831
1992-07-01,96.7919
1992-10-01,97.2348
1993-01-01,98.5226
1993-04-01,99.7247
1993-07-01,100.6184
1993-10-01,101.3908
1994-01-01,102.4937
1994-04-01,103.9313
1994-07-01,104.5507
1994-10-01,104.4847
1995-01-01,104.76
1995-04-01,105.2059
1995-07-01,104.9265
1995-10-01,104.5976
1996-01-01,104.101
1996-04-01,103.691
1996-07-01,103.3547
1996-10-01,102.7528
1997-01-01,102.3242
1997-04-01,101.8127
1997-07-01,101.5257
1997-10-01,101.0453
1998-01-01,100.6521
1998-04-01,100.7683
1998-07-01,100.6227
1998-10-01,100.6508
1999-01-01,100.593
1999-04-01,100.7041
1999-07-01,100.8276
1999-10-01,100.9638
2000-01-01,101.1839
2000-04-01,101.4033
2000-07-01,101.4621
2000-10-01,101.4416
2001-01-01,101.4213
2001-04-01,101.4012
2001-07-01,101.3078
2001-10-01,100.9669
2002-01-01,100.882
2002-04-01,100.798
2002-07-01,100.5349
2002-10-01,100.0877
2003-01-01,99.8138
2003-04-01,99.4571
2003-07-01,99.0007
2003-10-01,98.4402
2004-01-01,97.9675
2004-04-01,98.1755
2004-07-01,97.8513
2004-10-01,97.5062
2005-01-01,97.4199
2005-04-01,96.9124
2005-07-01,96.7614
2005-10-01,96.8125
2006-01-01,95.8
2006-04-01,97.3
2006-07-01,98.1
2006-10-01,97.1
2007-01-01,96.6
2007-04-01,96.5
2007-07-01,97.1
2007-10-01,97.3
2008-01-01,99.4
2008-04-01,100.3
2008-07-01,99.9
2008-10-01,100.6
2009-01-01,100.3
2009-04-01,99.0
2009-07-01,99.0
2009-10-01,99.4
2010-01-01,98.6
2010-04-01,99.8
2010-07-01,100.6
2010-10-01,101.0
2011-01-01,101.5
2011-04-01,101.9
2011-07-01,103.1
2011-10-01,103.2
2012-01-01,104.1
2012-04-01,105.4
2012-07-01,105.8
2012-10-01,106.6
2013-01-01,107.4
2013-04-01,108.6
2013-07-01,109.6
2013-10-01,109.1
2014-01-01,109.9
2014-04-01,112.1
2014-07-01,112.7
2014-10-01,112.7
2015-01-01,114.6
2015-04-01,117.0
2015-07-01,117.6
2015-10-01,119.3
2016-01-01,121.7
2016-04-01,125.2
2016-07-01,127.5
2016-10-01,129.3
2017-01-01,129.9
2017-04-01,132.5
2017-07-01,134.7
2017-10-01,137.4
2018-01-01,138.6
2018-04-01,141.3
2018-07-01,144.2
2018-10-01,146.0
2019-01-01,146.0
2019-04-01,149.7
2019-07-01,151.8
2019-10-01,155.5
2020-01-01,156.8
2020-04-01,159.6
2020-07-01,164.4
2020-10-01,169.1
2021-01-01,171.4
2021-04-01,177.9
2021-07-01,185.4
2021-10-01,190.4
2022-01-01,191.3
2022-04-01,195.0
2022-07-01,193.6
2022-10-01,183.6
2023-01-01,178.3
2023-04-01,175.6
