DATE,QJPN628BIS
1955-01-01,2.2115
1955-04-01,2.2785
1955-07-01,2.3462
1955-10-01,2.4327
1956-01-01,2.5192
1956-04-01,2.6635
1956-07-01,2.8077
1956-10-01,2.9952
1957-01-01,3.1827
1957-04-01,3.35
1957-07-01,3.5192
1957-10-01,3.7163
1958-01-01,3.9135
1958-04-01,4.1477
1958-07-01,4.3846
1958-10-01,4.6154
1959-01-01,4.8462
1959-04-01,5.133
1959-07-01,5.4231
1959-10-01,5.6923
1960-01-01,5.9615
1960-04-01,6.4087
1960-07-01,6.8558
1960-10-01,7.5337
1961-01-01,8.2115
1961-04-01,8.857
1961-07-01,9.5096
1961-10-01,9.9471
1962-01-01,10.3846
1962-04-01,10.8149
1962-07-01,11.25
1962-10-01,11.6346
1963-01-01,12.0192
1963-04-01,12.4017
1963-07-01,12.7885
1963-10-01,13.2212
1964-01-01,13.6539
1964-04-01,14.1346
1964-07-01,14.6154
1964-10-01,15.1442
1965-01-01,15.6731
1965-04-01,15.8643
1965-07-01,16.0577
1965-10-01,16.3462
1966-01-01,16.6346
1966-04-01,16.9693
1966-07-01,17.3077
1966-10-01,17.7885
1967-01-01,18.2692
1967-04-01,18.9864
1967-07-01,19.7115
1967-10-01,20.5289
1968-01-01,21.3462
1968-04-01,22.2596
1968-07-01,23.1731
1968-10-01,24.3269
1969-01-01,25.4808
1969-04-01,26.9151
1969-07-01,28.3654
1969-10-01,29.8077
1970-01-01,31.25
1970-04-01,32.6844
1970-07-01,34.1346
1970-10-01,35.4808
1971-01-01,36.8269
1971-04-01,38.1657
1971-07-01,39.5192
1971-10-01,40.8173
1972-01-01,42.1154
1972-04-01,43.9904
1972-07-01,45.8654
1972-10-01,50.0962
1973-01-01,54.3269
1973-04-01,58.7734
1973-07-01,63.2693
1973-10-01,65.9135
1974-01-01,68.5577
1974-04-01,69.1315
1974-07-01,69.7116
1974-10-01,67.6923
1975-01-01,65.6731
1975-04-01,65.8643
1975-07-01,66.0577
1975-10-01,66.3462
1976-01-01,66.6346
1976-04-01,67.2116
1976-07-01,67.7885
1976-10-01,68.5096
1977-01-01,69.2308
1977-04-01,69.9958
1977-07-01,70.7693
1977-10-01,71.6346
1978-01-01,72.5
1978-04-01,73.6953
1978-07-01,74.9039
1978-10-01,76.4423
1979-01-01,77.9808
1979-04-01,80.1801
1979-07-01,82.4039
1979-10-01,85.1443
1980-01-01,87.8847
1980-04-01,90.7693
1980-07-01,93.6539
1980-10-01,96.1539
1981-01-01,98.6539
1981-04-01,100.9966
1981-07-01,103.3654
1981-10-01,105.4808
1982-01-01,107.5962
1982-04-01,109.3174
1982-07-01,111.0577
1982-10-01,112.452
1983-01-01,113.8462
1983-04-01,114.9459
1983-07-01,116.0577
1983-10-01,117.0193
1984-01-01,117.9808
1984-04-01,118.7981
1984-07-01,119.6154
1984-10-01,120.4327
1985-01-01,121.25
1985-04-01,121.8716
1985-07-01,122.5
1985-10-01,123.1731
1986-01-01,123.8462
1986-04-01,124.7068
1986-07-01,125.577
1986-10-01,127.5001
1987-01-01,129.4231
1987-04-01,133.3915
1987-07-01,137.4039
1987-10-01,138.7981
1988-01-01,140.1924
1988-04-01,141.6347
1988-07-01,143.077
1988-10-01,145.4328
1989-01-01,147.7885
1989-04-01,151.2787
1989-07-01,154.8078
1989-10-01,160.7693
1990-01-01,166.7308
1990-04-01,172.516
1990-07-01,178.3655
1990-10-01,180.577
1991-01-01,182.7885
1991-04-01,182.5495
1991-07-01,182.3078
1991-10-01,180.2885
1992-01-01,178.2693
1992-04-01,176.0578
1992-07-01,173.8462
1992-10-01,171.6347
1993-01-01,169.4231
1993-04-01,167.9888
1993-07-01,166.5385
1993-10-01,165.4808
1994-01-01,164.4231
1994-04-01,163.7538
1994-07-01,163.077
1994-10-01,162.5001
1995-01-01,161.9231
1995-04-01,161.3016
1995-07-01,160.6731
1995-10-01,159.8558
1996-01-01,159.0385
1996-04-01,158.3174
1996-07-01,157.5962
1996-10-01,157.1154
1997-01-01,156.6347
1997-04-01,156.2044
1997-07-01,155.7693
1997-10-01,155.1924
1998-01-01,154.6154
1998-04-01,153.8505
1998-07-01,153.077
1998-10-01,151.7789
1999-01-01,150.4808
1999-04-01,149.2377
1999-07-01,147.9808
1999-10-01,146.5385
2000-01-01,145.0962
2000-04-01,143.6539
2000-07-01,142.2116
