DATE,QCHN628BIS
1970-01-01,24.7531
1970-04-01,24.6166
1970-07-01,25.414
1970-10-01,25.4642
1971-01-01,27.2282
1971-04-01,27.1585
1971-07-01,28.372
1971-10-01,28.9074
1972-01-01,30.0913
1972-04-01,31.976
1972-07-01,33.4632
1972-10-01,35.1538
1973-01-01,37.7774
1973-04-01,37.4745
1973-07-01,38.2601
1973-10-01,37.7152
1974-01-01,37.5438
1974-04-01,37.6314
1974-07-01,37.9035
1974-10-01,37.63
1975-01-01,36.2198
1975-04-01,35.7636
1975-07-01,35.4096
1975-10-01,35.2491
1976-01-01,34.4576
1976-04-01,34.6417
1976-07-01,34.2662
1976-10-01,35.3134
1977-01-01,35.2942
1977-04-01,35.6279
1977-07-01,36.3887
1977-10-01,36.2719
1978-01-01,35.8808
1978-04-01,36.7774
1978-07-01,37.415
1978-10-01,38.5588
1979-01-01,39.0521
1979-04-01,39.0635
1979-07-01,40.6231
1979-10-01,41.8477
1980-01-01,43.5615
1980-04-01,42.8488
1980-07-01,43.7936
1980-10-01,44.6184
1981-01-01,46.4741
1981-04-01,47.8015
1981-07-01,48.1663
1981-10-01,48.9596
1982-01-01,50.1957
1982-04-01,49.7483
1982-07-01,50.1007
1982-10-01,50.8442
1983-01-01,51.0153
1983-04-01,51.8013
1983-07-01,53.1835
1983-10-01,53.9224
1984-01-01,54.7302
1984-04-01,55.9377
1984-07-01,55.9437
1984-10-01,56.3299
1985-01-01,59.3042
1985-04-01,58.1037
1985-07-01,58.5811
1985-10-01,58.4868
1986-01-01,60.5251
1986-04-01,58.6318
1986-07-01,59.4435
1986-10-01,59.0329
1987-01-01,60.4211
1987-04-01,61.2802
1987-07-01,61.371
1987-10-01,61.1392
1988-01-01,62.4115
1988-04-01,62.9429
1988-07-01,64.8836
1988-10-01,67.6669
1989-01-01,68.8543
1989-04-01,68.2464
1989-07-01,69.3203
1989-10-01,72.9728
1990-01-01,74.342
1990-04-01,75.398
1990-07-01,75.2895
1990-10-01,73.7266
1991-01-01,73.8739
1991-04-01,75.3566
1991-07-01,78.9004
1991-10-01,77.0999
1992-01-01,76.7718
1992-04-01,76.4395
1992-07-01,74.7104
1992-10-01,74.7812
1993-01-01,74.6557
1993-04-01,76.32
1993-07-01,74.541
1993-10-01,74.2738
1994-01-01,75.4985
1994-04-01,74.7002
1994-07-01,74.4284
1994-10-01,73.8075
1995-01-01,74.1794
1995-04-01,74.5631
1995-07-01,74.3298
1995-10-01,73.1437
1996-01-01,72.317
1996-04-01,72.583
1996-07-01,73.0212
1996-10-01,70.926
1997-01-01,70.9924
1997-04-01,70.572
1997-07-01,71.0655
1997-10-01,70.1042
1998-01-01,70.4104
1998-04-01,69.9144
1998-07-01,70.4237
1998-10-01,70.1995
1999-01-01,70.9834
1999-04-01,70.9188
1999-07-01,70.7338
1999-10-01,70.5756
2000-01-01,70.7995
2000-04-01,70.6735
2000-07-01,71.0604
2000-10-01,69.5461
2001-01-01,71.0014
2001-04-01,70.7453
2001-07-01,70.6959
2001-10-01,71.6672
2002-01-01,71.8184
2002-04-01,70.9933
2002-07-01,71.3116
2002-10-01,71.3188
2003-01-01,71.1083
2003-04-01,72.8238
2003-07-01,73.3941
2003-10-01,73.621
2004-01-01,74.7447
2004-04-01,75.4148
2004-07-01,76.8166
2004-10-01,77.3865
2005-01-01,78.2731
2005-04-01,78.6966
2005-07-01,79.9404
2005-10-01,80.6502
2006-01-01,82.2796
2006-04-01,83.6242
2006-07-01,84.3458
2006-10-01,88.0302
2007-01-01,89.2439
2007-04-01,90.7704
2007-07-01,90.3142
2007-10-01,91.122
2008-01-01,92.3484
2008-04-01,93.6788
2008-07-01,94.6841
2008-10-01,95.8471
2009-01-01,96.1821
2009-04-01,95.6529
2009-07-01,95.7398
2009-10-01,96.1567
2010-01-01,98.1403
2010-04-01,98.9517
2010-07-01,100.63
2010-10-01,102.2781
2011-01-01,105.2026
2011-04-01,106.7923
2011-07-01,108.9513
2011-10-01,109.0961
2012-01-01,111.8117
2012-04-01,113.1483
2012-07-01,114.7981
2012-10-01,115.127
2013-01-01,117.2732
2013-04-01,118.0954
2013-07-01,118.2852
2013-10-01,119.5518
2014-01-01,120.027
2014-04-01,121.5077
2014-07-01,121.3478
2014-10-01,122.9659
2015-01-01,124.1876
2015-04-01,123.6848
2015-07-01,123.9743
2015-10-01,124.4482
2016-01-01,125.9267
2016-04-01,124.6696
2016-07-01,123.89
2016-10-01,122.7878
2017-01-01,123.0351
2017-04-01,124.7017
2017-07-01,127.1119
2017-10-01,126.8487
2018-01-01,126.7614
2018-04-01,128.7734
2018-07-01,129.5867
2018-10-01,131.4891
2019-01-01,132.7894
2019-04-01,133.4809
2019-07-01,133.6661
2019-10-01,136.0164
2020-01-01,134.9885
2020-04-01,136.8283
2020-07-01,137.1253
2020-10-01,140.2726
2021-01-01,140.1987
2021-04-01,143.2769
2021-07-01,146.6494
2021-10-01,150.5322
2022-01-01,149.9765
2022-04-01,153.9964
2022-07-01,155.9094
2022-10-01,157.7692
2023-01-01,155.8616
2023-04-01,157.6819
